	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
93	60054724.0	0.0	4294902800.0	51330.0	92250.0	142572.0	262122.0	262143.0	139912.0	36350.0	51121.0	107304.0	66.0	84.0	87224.0	26.0	33.0	67540.0	13.0	16.0	36692.0	120109.0
96	60063492.0	0.0	4294902800.0	72585.0	120913.0	128760.0	262122.0	262143.0	136604.0	40385.0	51995.0	98180.0	51.0	57.0	62628.0	28.0	22.0	26356.0	17.0	9.0	12076.0	120127.0
98	60065720.0	0.0	4294902800.0	100046.0	152822.0	117484.0	262122.0	262143.0	148264.0	68056.0	88673.0	99420.0	109.0	128.0	90964.0	46.0	41.0	58372.0	66.0	72.0	91048.0	120131.0
103	60076130.0	0.0	4294902800.0	60043.0	105988.0	133872.0	262122.0	262143.0	147092.0	43576.0	62349.0	109368.0	48.0	56.0	59396.0	21.0	21.0	45600.0	10.0	4.0	19096.0	120152.0
104	60085584.0	0.0	4294902800.0	71901.0	129538.0	144240.0	262122.0	262143.0	151180.0	64789.0	84990.0	99548.0	88.0	89.0	73872.0	41.0	52.0	69392.0	32.0	37.0	26072.0	120171.0
105	60087410.0	0.0	4294902800.0	96871.0	144726.0	105604.0	262122.0	262143.0	151444.0	44777.0	61538.0	107576.0	60.0	65.0	67968.0	28.0	26.0	33928.0	26.0	11.0	23732.0	120175.0
114	60095820.0	0.0	4294902800.0	56128.0	95762.0	132316.0	262122.0	262143.0	126348.0	38293.0	51031.0	101352.0	42.0	44.0	64776.0	23.0	16.0	40564.0	14.0	17.0	37944.0	120192.0
117	60101720.0	0.0	4294902800.0	55501.0	98234.0	144484.0	262122.0	262143.0	135264.0	43223.0	57086.0	101892.0	39.0	50.0	81680.0	23.0	26.0	44164.0	14.0	7.0	16120.0	120203.0
135	60130464.0	0.0	4294902800.0	67407.0	113304.0	125636.0	262122.0	262143.0	144700.0	42479.0	59585.0	107360.0	81.0	84.0	68140.0	33.0	52.0	104136.0	27.0	25.0	40252.0	120261.0
166	60176890.0	0.0	4294902800.0	58988.0	149566.0	212764.0	262122.0	262143.0	204380.0	59445.0	107573.0	143064.0	53.0	102.0	149236.0	25.0	41.0	25204.0	52.0	68.0	58256.0	120354.0
168	60181596.0	0.0	4294902800.0	62144.0	136390.0	201040.0	262122.0	262143.0	176416.0	43393.0	97095.0	182796.0	47.0	108.0	178996.0	22.0	24.0	36216.0	37.0	64.0	67720.0	120363.0
173	60190276.0	0.0	4294902800.0	53100.0	99686.0	149772.0	262122.0	262143.0	142112.0	36804.0	50561.0	105536.0	50.0	54.0	68952.0	26.0	24.0	43184.0	27.0	28.0	38952.0	120381.0
174	60193130.0	0.0	4294902800.0	44622.0	89741.0	158044.0	262122.0	262143.0	157740.0	32720.0	45714.0	107620.0	30.0	30.0	61104.0	10.0	4.0	10808.0	12.0	8.0	18684.0	120386.0
184	60210376.0	0.0	4294902800.0	61165.0	109775.0	146092.0	262122.0	262143.0	154720.0	43029.0	58675.0	104460.0	40.0	38.0	61804.0	9.0	4.0	31652.0	8.0	5.0	19472.0	120421.0
204	60241380.0	0.0	4294902800.0	53699.0	88604.0	127348.0	262122.0	262143.0	116104.0	28298.0	39411.0	107644.0	33.0	40.0	60492.0	17.0	11.0	32764.0	20.0	17.0	53432.0	120483.0
205	60242296.0	0.0	4294902800.0	54691.0	89037.0	126860.0	262122.0	262143.0	124804.0	33477.0	44186.0	99856.0	67.0	72.0	81552.0	35.0	24.0	23272.0	29.0	22.0	43736.0	120485.0
214	60253776.0	0.0	4294902800.0	66568.0	142373.0	181712.0	262122.0	262143.0	157520.0	47716.0	99256.0	183708.0	52.0	82.0	74504.0	36.0	21.0	25728.0	27.0	55.0	87520.0	120508.0
218	60261292.0	0.0	4294902800.0	71208.0	110441.0	110412.0	262122.0	262143.0	137248.0	42732.0	57794.0	104188.0	61.0	65.0	65608.0	44.0	43.0	53892.0	35.0	40.0	60908.0	120523.0
219	60264132.0	0.0	4294902800.0	57896.0	104407.0	142760.0	262122.0	262143.0	153364.0	44977.0	62690.0	106320.0	50.0	59.0	77264.0	21.0	25.0	33320.0	18.0	12.0	21848.0	120528.0
220	60264904.0	0.0	4294902800.0	51020.0	100427.0	160364.0	256646.0	262143.0	135404.0	45530.0	58948.0	98304.0	54.0	49.0	46164.0	19.0	25.0	17204.0	11.0	3.0	19624.0	120530.0
231	60281036.0	0.0	4294902800.0	54321.0	90696.0	129820.0	262122.0	262143.0	131912.0	36705.0	47011.0	97524.0	40.0	48.0	78672.0	22.0	12.0	17440.0	19.0	7.0	26200.0	120562.0
237	60292224.0	0.0	4294902800.0	60422.0	98209.0	122280.0	262122.0	262143.0	138036.0	36539.0	48516.0	100696.0	44.0	46.0	72364.0	27.0	27.0	49628.0	22.0	33.0	55468.0	120584.0
247	60307204.0	0.0	4294902800.0	66022.0	110516.0	125668.0	262122.0	262143.0	154688.0	40186.0	56411.0	107584.0	38.0	54.0	97984.0	36.0	39.0	34968.0	28.0	33.0	60856.0	120614.0
254	60322410.0	0.0	4294902800.0	57218.0	116005.0	170984.0	262122.0	262143.0	168264.0	52274.0	74392.0	108592.0	72.0	95.0	93184.0	20.0	27.0	54580.0	22.0	27.0	23372.0	120645.0
255	60323028.0	0.0	4294902800.0	62120.0	111549.0	148972.0	262122.0	262143.0	152924.0	50469.0	71836.0	109204.0	62.0	78.0	95940.0	41.0	46.0	54868.0	24.0	18.0	31884.0	120646.0
260	60333240.0	0.0	4294902800.0	57942.0	88572.0	116068.0	262122.0	262143.0	124660.0	33636.0	41196.0	93688.0	28.0	27.0	58572.0	6.0	4.0	15580.0	7.0	3.0	10860.0	120666.0
269	60345044.0	0.0	4294902800.0	65140.0	120667.0	141212.0	262122.0	262143.0	137392.0	45314.0	63637.0	106264.0	43.0	44.0	69572.0	23.0	26.0	37900.0	25.0	14.0	33760.0	120690.0
276	60358492.0	0.0	4294902800.0	56290.0	104569.0	150144.0	262122.0	262143.0	156012.0	44624.0	62068.0	105924.0	53.0	68.0	74864.0	16.0	23.0	57548.0	20.0	13.0	35060.0	120717.0
281	60367300.0	0.0	4294902800.0	56171.0	114674.0	161728.0	262122.0	262143.0	161004.0	50706.0	71833.0	107500.0	54.0	58.0	74564.0	21.0	23.0	60980.0	28.0	37.0	79400.0	120735.0
283	60369490.0	0.0	4294902800.0	62145.0	104676.0	131816.0	262122.0	262143.0	138540.0	45267.0	61760.0	104168.0	61.0	77.0	86596.0	15.0	22.0	30264.0	33.0	26.0	23940.0	120739.0
285	60376820.0	0.0	4294902800.0	60826.0	109972.0	141044.0	262122.0	262143.0	145392.0	46379.0	62589.0	100460.0	46.0	53.0	70580.0	24.0	19.0	42856.0	12.0	9.0	43192.0	120754.0
292	60384470.0	0.0	4294902800.0	56792.0	99605.0	140524.0	262122.0	262143.0	135840.0	29475.0	37520.0	96928.0	48.0	44.0	62012.0	36.0	40.0	65264.0	26.0	28.0	62564.0	120769.0
296	60391136.0	0.0	4294902800.0	50913.0	87523.0	134000.0	262122.0	262143.0	134376.0	32880.0	43731.0	101496.0	42.0	37.0	52668.0	13.0	6.0	14864.0	6.0	4.0	22980.0	120782.0
305	60408156.0	0.0	4294902800.0	61362.0	99270.0	122900.0	262122.0	262143.0	127064.0	34758.0	43219.0	94372.0	35.0	39.0	77604.0	8.0	4.0	12908.0	8.0	4.0	15888.0	120816.0
308	60414616.0	0.0	4294902800.0	58651.0	96334.0	127384.0	262122.0	262143.0	137636.0	28789.0	38245.0	101012.0	27.0	18.0	26140.0	16.0	8.0	19808.0	0.0	1.0	3712.0	120829.0
337	60455030.0	0.0	4294902800.0	56719.0	103812.0	147564.0	262122.0	262143.0	148748.0	47662.0	65743.0	105276.0	57.0	62.0	69392.0	10.0	12.0	11844.0	13.0	10.0	20984.0	120910.0
347	60466500.0	0.0	4294902800.0	62560.0	107789.0	133380.0	262122.0	262143.0	142628.0	49802.0	69464.0	106432.0	31.0	29.0	38496.0	17.0	15.0	20992.0	14.0	7.0	18196.0	120933.0
350	60473670.0	0.0	4294902800.0	65340.0	96626.0	110632.0	262122.0	262143.0	112948.0	35654.0	44721.0	95932.0	38.0	33.0	48592.0	25.0	21.0	25384.0	19.0	16.0	34036.0	120947.0
354	60480204.0	0.0	4294902800.0	64395.0	100274.0	118656.0	262122.0	262143.0	128072.0	41365.0	55163.0	101368.0	48.0	57.0	87364.0	23.0	24.0	47784.0	18.0	7.0	17192.0	120960.0
356	60483970.0	0.0	4294902800.0	60003.0	94343.0	118128.0	262122.0	262143.0	143460.0	36698.0	50859.0	106836.0	30.0	30.0	63100.0	20.0	12.0	16796.0	25.0	22.0	55800.0	120968.0
360	60495440.0	0.0	4294902800.0	60741.0	101700.0	129732.0	262122.0	262143.0	128928.0	37917.0	49038.0	98848.0	36.0	36.0	54192.0	1.0	2.0	5936.0	1.0	2.0	8656.0	120991.0
361	60496100.0	0.0	4294902800.0	47969.0	97530.0	171040.0	236339.0	262143.0	155680.0	40278.0	57062.0	108860.0	38.0	41.0	52368.0	19.0	16.0	37592.0	13.0	8.0	16796.0	120992.0
364	60503770.0	0.0	4294902800.0	59733.0	114141.0	155120.0	262122.0	262143.0	158032.0	41413.0	58256.0	107128.0	44.0	56.0	81340.0	43.0	44.0	39248.0	21.0	25.0	48960.0	121008.0
365	60510070.0	0.0	4294902800.0	62272.0	112741.0	144672.0	262122.0	262143.0	152116.0	46740.0	64090.0	104492.0	41.0	36.0	49620.0	20.0	12.0	16896.0	28.0	39.0	44480.0	121020.0
367	60517544.0	0.0	4294902800.0	88374.0	137258.0	118804.0	262122.0	262143.0	134696.0	50192.0	62695.0	95056.0	58.0	55.0	55096.0	18.0	17.0	16212.0	12.0	7.0	22600.0	121035.0
368	60523076.0	0.0	4294902800.0	80610.0	135178.0	127400.0	262122.0	262143.0	141116.0	42059.0	54875.0	98856.0	44.0	41.0	66300.0	14.0	12.0	20408.0	33.0	22.0	22332.0	121046.0
369	60525972.0	0.0	4294902800.0	53979.0	88173.0	127436.0	262122.0	262143.0	123520.0	32989.0	40532.0	92944.0	30.0	32.0	55124.0	1.0	1.0	4500.0	1.0	1.0	5364.0	121052.0
371	60528490.0	0.0	4294902800.0	74968.0	127134.0	129056.0	262122.0	262143.0	144796.0	52897.0	72549.0	104508.0	66.0	79.0	90152.0	42.0	35.0	47952.0	48.0	28.0	17796.0	121057.0
373	60533264.0	0.0	4294902800.0	62505.0	109688.0	142004.0	262122.0	262143.0	144252.0	46920.0	64576.0	108828.0	43.0	52.0	66816.0	31.0	29.0	45824.0	55.0	51.0	59708.0	121067.0
376	60535844.0	0.0	4294902800.0	50314.0	84861.0	130164.0	262122.0	262143.0	134376.0	27825.0	34305.0	92920.0	20.0	16.0	38220.0	6.0	5.0	16156.0	15.0	6.0	15356.0	121072.0
378	60539988.0	0.0	4294902800.0	58053.0	93224.0	122372.0	262122.0	262143.0	131736.0	39244.0	49443.0	95460.0	43.0	44.0	65828.0	20.0	26.0	38900.0	4.0	3.0	14472.0	121080.0
382	60546610.0	0.0	4294902800.0	50632.0	87938.0	136124.0	262122.0	262143.0	123396.0	28973.0	40049.0	105204.0	39.0	39.0	71272.0	18.0	16.0	19684.0	21.0	15.0	26420.0	121093.0
385	60555268.0	0.0	4294902800.0	52779.0	94708.0	139960.0	262122.0	262143.0	144268.0	32193.0	43186.0	102208.0	44.0	48.0	66132.0	31.0	25.0	27624.0	5.0	2.0	7500.0	121111.0
