	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
117	64304890.0	0.0	4294902800.0	65429.0	125335.0	157912.0	262122.0	262143.0	150076.0	53281.0	74794.0	106852.0	41.0	38.0	54508.0	43.0	52.0	71220.0	45.0	49.0	73152.0	128610.0
118	64306028.0	0.0	4294902800.0	56688.0	100871.0	139320.0	243559.0	262143.0	134288.0	38935.0	50653.0	97860.0	15.0	13.0	17524.0	25.0	19.0	23588.0	22.0	13.0	28492.0	128612.0
119	64309490.0	0.0	4294902800.0	68046.0	131345.0	153624.0	262122.0	262143.0	171752.0	41770.0	60793.0	111904.0	43.0	45.0	63232.0	46.0	64.0	94976.0	47.0	53.0	39124.0	128619.0
120	64311596.0	0.0	4294902800.0	44695.0	114000.0	219764.0	262122.0	262143.0	176596.0	35029.0	75370.0	171112.0	55.0	64.0	75508.0	38.0	56.0	96936.0	31.0	37.0	50172.0	128623.0
162	64370816.0	0.0	4294902800.0	50278.0	128168.0	218724.0	262122.0	262143.0	189924.0	39121.0	88330.0	198876.0	39.0	68.0	99188.0	137.0	254.0	108696.0	36.0	61.0	38108.0	128742.0
166	64377284.0	0.0	4294902800.0	46792.0	93059.0	157712.0	262122.0	262143.0	160576.0	38619.0	51232.0	101096.0	22.0	12.0	15512.0	17.0	18.0	30508.0	16.0	22.0	55308.0	128755.0
169	64382520.0	0.0	4294902800.0	79853.0	128190.0	120968.0	262122.0	262143.0	149120.0	62874.0	88884.0	108476.0	202.0	231.0	86052.0	236.0	294.0	84652.0	72.0	63.0	63372.0	128765.0
172	64392516.0	0.0	4294902800.0	53563.0	97758.0	145464.0	262122.0	262143.0	138916.0	38754.0	52642.0	103192.0	49.0	45.0	56464.0	52.0	52.0	33244.0	26.0	15.0	28976.0	128785.0
176	64401744.0	0.0	4294902800.0	63193.0	115960.0	144948.0	262122.0	262143.0	148224.0	55857.0	77297.0	106148.0	28.0	23.0	32264.0	17.0	19.0	39712.0	13.0	7.0	18284.0	128803.0
178	64403200.0	0.0	4294902800.0	43423.0	101976.0	202956.0	243699.0	262143.0	139184.0	24750.0	59299.0	200568.0	22.0	20.0	34224.0	70.0	101.0	66632.0	25.0	16.0	31284.0	128806.0
183	64407470.0	0.0	4294902800.0	56153.0	92117.0	130660.0	262122.0	262143.0	132404.0	36368.0	44770.0	92988.0	19.0	17.0	48720.0	63.0	70.0	68032.0	6.0	5.0	11076.0	128815.0
189	64419630.0	0.0	4294902800.0	54424.0	114612.0	192068.0	262122.0	262143.0	202160.0	38900.0	76995.0	183724.0	30.0	29.0	32000.0	68.0	130.0	135968.0	32.0	13.0	19452.0	128839.0
194	64431680.0	0.0	4294902800.0	53697.0	94925.0	141812.0	262122.0	262143.0	138044.0	21712.0	28817.0	101312.0	8.0	3.0	10440.0	18.0	15.0	29664.0	5.0	3.0	11808.0	128863.0
195	64434904.0	0.0	4294902800.0	58403.0	128775.0	185648.0	262122.0	262143.0	182948.0	50589.0	89564.0	138236.0	42.0	44.0	62256.0	59.0	80.0	88520.0	16.0	18.0	32220.0	128870.0
196	64436780.0	0.0	4294902800.0	54576.0	124581.0	198164.0	239479.0	262143.0	178220.0	32774.0	78381.0	197076.0	23.0	27.0	61800.0	71.0	143.0	142300.0	37.0	47.0	54444.0	128874.0
202	64446340.0	0.0	4294902800.0	58124.0	150965.0	214564.0	262122.0	262143.0	216444.0	44483.0	103930.0	194860.0	34.0	59.0	58980.0	68.0	147.0	176324.0	41.0	48.0	50376.0	128893.0
212	64457668.0	0.0	4294902800.0	53891.0	93987.0	133356.0	262122.0	262143.0	127052.0	39160.0	52568.0	102740.0	23.0	18.0	37304.0	63.0	83.0	91532.0	19.0	16.0	23244.0	128915.0
232	64489856.0	0.0	4294902800.0	63448.0	108241.0	130012.0	262122.0	262143.0	129148.0	49068.0	69395.0	108332.0	38.0	55.0	109948.0	74.0	95.0	83496.0	28.0	38.0	56396.0	128980.0
237	64509876.0	0.0	4294902800.0	70715.0	119488.0	125960.0	262122.0	262143.0	134628.0	45126.0	64172.0	100136.0	37.0	41.0	59612.0	29.0	28.0	43368.0	30.0	41.0	71748.0	129020.0
243	64517436.0	0.0	4294902800.0	63351.0	108218.0	136668.0	262122.0	262143.0	153164.0	46855.0	63358.0	102836.0	45.0	39.0	48092.0	37.0	45.0	89248.0	46.0	58.0	43520.0	129035.0
254	64532970.0	0.0	4294902800.0	53225.0	96780.0	145772.0	262122.0	262143.0	134924.0	40958.0	55899.0	103624.0	26.0	29.0	61108.0	36.0	46.0	80224.0	19.0	19.0	14584.0	129066.0
260	64539440.0	0.0	4294902800.0	53640.0	106285.0	165944.0	210136.0	262143.0	186940.0	31799.0	69304.0	175448.0	18.0	12.0	28012.0	53.0	92.0	126852.0	7.0	3.0	9020.0	129079.0
266	64548176.0	0.0	4294902800.0	54110.0	92204.0	131876.0	262122.0	262143.0	141136.0	35302.0	46534.0	99596.0	25.0	20.0	36880.0	27.0	33.0	75924.0	19.0	7.0	18524.0	129096.0
268	64553236.0	0.0	4294902800.0	65673.0	112799.0	136800.0	262122.0	262143.0	148108.0	49467.0	67512.0	103812.0	57.0	60.0	71640.0	51.0	54.0	66376.0	15.0	6.0	16312.0	129106.0
275	64566656.0	0.0	4294902800.0	56517.0	103284.0	142940.0	262122.0	262143.0	153088.0	36903.0	53483.0	111716.0	25.0	23.0	29456.0	25.0	26.0	58616.0	14.0	5.0	21012.0	129133.0
282	64581816.0	0.0	4294902800.0	72577.0	134550.0	146212.0	262122.0	262143.0	153736.0	43347.0	60035.0	105628.0	57.0	62.0	76172.0	21.0	25.0	36880.0	139.0	140.0	66172.0	129164.0
289	64591700.0	0.0	4294902800.0	83688.0	142619.0	131772.0	262122.0	262143.0	153544.0	64890.0	94206.0	111552.0	79.0	77.0	70404.0	117.0	150.0	86108.0	67.0	80.0	76516.0	129183.0
291	64596292.0	0.0	4294902800.0	73513.0	143935.0	164804.0	262122.0	262143.0	174368.0	64628.0	102211.0	122632.0	154.0	181.0	88936.0	181.0	262.0	107056.0	67.0	94.0	103452.0	129193.0
309	64625350.0	0.0	4294902800.0	49433.0	84712.0	140476.0	262122.0	262143.0	124000.0	21001.0	27363.0	101372.0	4.0	2.0	6676.0	20.0	7.0	18652.0	1.0	1.0	5292.0	129251.0
327	64652630.0	0.0	4294902800.0	55228.0	111962.0	163688.0	262122.0	262143.0	168616.0	47551.0	64871.0	103000.0	15.0	10.0	31600.0	29.0	42.0	79176.0	18.0	11.0	23480.0	129305.0
329	64654930.0	0.0	4294902800.0	67234.0	124774.0	144412.0	240442.0	262143.0	168244.0	45017.0	81785.0	154044.0	53.0	76.0	83168.0	93.0	168.0	67296.0	26.0	44.0	48416.0	129310.0
333	64662444.0	0.0	4294902800.0	64881.0	93845.0	102620.0	191017.0	262143.0	138176.0	33613.0	43793.0	99472.0	26.0	20.0	46100.0	62.0	78.0	96088.0	12.0	6.0	17448.0	129325.0
337	64667860.0	0.0	4294902800.0	76113.0	160913.0	123040.0	262122.0	262143.0	196564.0	42470.0	107755.0	208928.0	38.0	65.0	80152.0	78.0	174.0	175860.0	31.0	65.0	45852.0	129336.0
338	64673212.0	0.0	4294902800.0	46961.0	90661.0	157648.0	262122.0	262143.0	146660.0	30369.0	41780.0	104492.0	14.0	19.0	61060.0	37.0	53.0	90116.0	3.0	2.0	6548.0	129346.0
339	64674740.0	0.0	4294902800.0	63958.0	110032.0	133232.0	262122.0	262143.0	144932.0	40835.0	55505.0	103188.0	19.0	23.0	46316.0	33.0	40.0	66224.0	21.0	8.0	13444.0	129349.0
350	64695050.0	0.0	4294902800.0	48427.0	133577.0	235464.0	256504.0	262143.0	215660.0	37043.0	94789.0	208208.0	56.0	50.0	47320.0	70.0	132.0	146748.0	32.0	32.0	65264.0	129390.0
352	64698070.0	0.0	4294902800.0	59534.0	93878.0	120744.0	262122.0	262143.0	128760.0	26809.0	31985.0	90312.0	15.0	6.0	15732.0	31.0	37.0	44712.0	16.0	15.0	39992.0	129396.0
356	64707360.0	0.0	4294902800.0	74177.0	149295.0	163172.0	262122.0	262143.0	200124.0	56196.0	90365.0	123480.0	46.0	49.0	44236.0	81.0	132.0	114664.0	96.0	132.0	82396.0	129415.0
363	64727690.0	0.0	4294902800.0	54644.0	103193.0	151732.0	262122.0	262143.0	142064.0	34507.0	47514.0	104968.0	31.0	35.0	56392.0	82.0	105.0	101456.0	25.0	26.0	21992.0	129455.0
364	64728776.0	0.0	4294902800.0	63334.0	107466.0	133564.0	262122.0	262143.0	135048.0	34612.0	45693.0	100560.0	23.0	31.0	44312.0	57.0	65.0	51880.0	20.0	7.0	16292.0	129458.0
365	64735520.0	0.0	4294902800.0	64287.0	105284.0	129796.0	262122.0	262143.0	133720.0	34777.0	43364.0	94756.0	32.0	33.0	61728.0	29.0	35.0	68224.0	38.0	36.0	25060.0	129471.0
366	64736020.0	0.0	4294902800.0	52180.0	86254.0	127852.0	178672.0	262143.0	164700.0	31182.0	43069.0	105772.0	79.0	85.0	73164.0	95.0	132.0	110028.0	38.0	47.0	71432.0	129472.0
368	64740176.0	0.0	4294902800.0	53210.0	105591.0	164056.0	262122.0	262143.0	150932.0	45159.0	62576.0	106108.0	37.0	34.0	59936.0	56.0	70.0	77312.0	37.0	54.0	52088.0	129480.0
373	64750864.0	0.0	4294902800.0	50718.0	98307.0	155800.0	262122.0	262143.0	143544.0	36821.0	55541.0	117588.0	34.0	37.0	38684.0	45.0	67.0	99480.0	28.0	27.0	60460.0	129502.0
374	64760196.0	0.0	4294902800.0	69108.0	119558.0	134752.0	262122.0	262143.0	140836.0	49350.0	63717.0	98556.0	46.0	43.0	40940.0	76.0	95.0	92296.0	27.0	20.0	41700.0	129520.0
375	64764376.0	0.0	4294902800.0	66581.0	124013.0	152280.0	262122.0	262143.0	155660.0	39239.0	54950.0	107508.0	21.0	27.0	56728.0	67.0	72.0	77056.0	22.0	26.0	58732.0	129529.0
378	64767580.0	0.0	4294902800.0	57671.0	109660.0	154068.0	262122.0	262143.0	165416.0	41251.0	57654.0	107168.0	37.0	14.0	15200.0	34.0	39.0	45816.0	24.0	9.0	18392.0	129535.0
379	64770520.0	0.0	4294902800.0	67810.0	119170.0	141248.0	262122.0	262143.0	149044.0	37390.0	54510.0	112336.0	18.0	15.0	36932.0	24.0	29.0	60416.0	6.0	3.0	13484.0	129541.0
380	64773732.0	0.0	4294902800.0	50739.0	109465.0	169492.0	256185.0	262143.0	146816.0	49027.0	70828.0	109424.0	43.0	45.0	64024.0	99.0	126.0	79856.0	24.0	12.0	14984.0	129547.0
381	64779116.0	0.0	4294902800.0	56479.0	106049.0	148752.0	262122.0	262143.0	139188.0	36546.0	50166.0	105836.0	28.0	32.0	67656.0	85.0	105.0	77364.0	19.0	10.0	25020.0	129558.0
386	64789330.0	0.0	4294902800.0	78202.0	130294.0	118936.0	262122.0	262143.0	151652.0	50335.0	73111.0	111408.0	50.0	68.0	65212.0	111.0	157.0	104064.0	30.0	30.0	53420.0	129579.0
387	64792296.0	0.0	4294902800.0	63794.0	116283.0	135920.0	262122.0	262143.0	154460.0	35239.0	46713.0	99492.0	30.0	25.0	37580.0	62.0	67.0	62316.0	9.0	5.0	19252.0	129585.0
392	64807456.0	0.0	4294902800.0	58153.0	111000.0	154828.0	262122.0	262143.0	145028.0	35183.0	49971.0	109164.0	28.0	20.0	28056.0	123.0	161.0	91532.0	34.0	34.0	60780.0	129615.0
393	64809964.0	0.0	4294902800.0	58901.0	94385.0	119880.0	262122.0	262143.0	124688.0	33918.0	43175.0	96760.0	43.0	50.0	71916.0	76.0	93.0	78112.0	21.0	25.0	58120.0	129620.0
