	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
205	704348600.0	0.0	4294901800.0	85893.0	133707.0	115788.0	262122.0	262143.0	116596.0	31597.0	40846.0	98416.0	73.0	82.0	77740.0	41.0	50.0	77616.0	61.0	61.0	61816.0	1408697.0
211	744135000.0	0.0	4294901800.0	89506.0	97925.0	82348.0	262122.0	262143.0	80076.0	35203.0	35276.0	75740.0	10.0	4.0	12924.0	9.0	4.0	13924.0	4.0	2.0	6384.0	1488270.0
235	862150340.0	0.0	4294901800.0	69021.0	127545.0	156484.0	262122.0	262143.0	146136.0	34290.0	46847.0	104312.0	58.0	58.0	54220.0	41.0	28.0	29180.0	92.0	110.0	72284.0	1724301.0
236	863199800.0	0.0	4294901800.0	77132.0	126100.0	125240.0	262122.0	262143.0	132456.0	31852.0	40570.0	96680.0	54.0	72.0	66284.0	21.0	32.0	54680.0	38.0	54.0	82264.0	1726400.0
239	868434370.0	0.0	4294901800.0	69141.0	123136.0	141220.0	262122.0	262143.0	145284.0	42053.0	58872.0	106512.0	106.0	137.0	83700.0	72.0	63.0	47076.0	68.0	88.0	76092.0	1736869.0
240	869352500.0	0.0	4294901800.0	69215.0	107402.0	121508.0	252807.0	262143.0	138028.0	41376.0	55773.0	102436.0	81.0	103.0	92112.0	25.0	34.0	59120.0	179.0	201.0	87256.0	1738705.0
250	914905900.0	0.0	4294901800.0	77373.0	149405.0	158948.0	262122.0	262143.0	154928.0	42365.0	55903.0	99112.0	119.0	141.0	79996.0	41.0	41.0	44372.0	97.0	118.0	95048.0	1829812.0
267	1015584450.0	0.0	4294901800.0	68505.0	96903.0	88208.0	219453.0	262143.0	87808.0	10197.0	19196.0	161884.0	135.0	229.0	145160.0	61.0	122.0	94920.0	5.0	4.0	15828.0	2031169.0
270	1019564860.0	0.0	4294901800.0	70501.0	115385.0	125996.0	262122.0	262143.0	122964.0	32570.0	41672.0	97984.0	78.0	94.0	84556.0	33.0	35.0	56384.0	77.0	100.0	81720.0	2039130.0
278	1081148500.0	0.0	4294901800.0	102290.0	164411.0	120064.0	262122.0	262143.0	148392.0	41230.0	56081.0	103724.0	134.0	154.0	85212.0	72.0	66.0	48620.0	120.0	164.0	104996.0	2162297.0
290	1139203500.0	0.0	4294901800.0	80602.0	138786.0	125560.0	262122.0	262143.0	138456.0	54652.0	77610.0	109364.0	66.0	86.0	102036.0	50.0	71.0	90448.0	14105.0	21219.0	128556.0	2278407.0
294	1146008700.0	0.0	4294901800.0	71416.0	182293.0	212592.0	262122.0	262143.0	197336.0	36908.0	86903.0	188640.0	99.0	180.0	123264.0	33.0	66.0	92364.0	84.0	154.0	131100.0	2292017.0
299	1160942800.0	0.0	4294901800.0	63202.0	117628.0	149696.0	262122.0	262143.0	120416.0	25414.0	34534.0	103664.0	45.0	55.0	76576.0	27.0	33.0	52972.0	3303.0	5499.0	130892.0	2321886.0
301	1167324300.0	0.0	4294901800.0	71391.0	117688.0	126356.0	262122.0	262143.0	134740.0	43745.0	64476.0	112744.0	98.0	121.0	89484.0	50.0	50.0	59220.0	129.0	144.0	81948.0	2334649.0
302	1167341600.0	0.0	4294901800.0	74633.0	153599.0	168668.0	262122.0	262143.0	170884.0	63449.0	90732.0	107872.0	97.0	125.0	90764.0	72.0	75.0	40496.0	201.0	301.0	112528.0	2334683.0
310	1203201000.0	0.0	4294901800.0	88273.0	156352.0	138380.0	262122.0	262143.0	130524.0	55011.0	72656.0	100432.0	108.0	119.0	73104.0	49.0	56.0	52316.0	169.0	193.0	83568.0	2406402.0
326	1301282800.0	0.0	4294901800.0	78962.0	135998.0	135360.0	262122.0	262143.0	125208.0	35612.0	42815.0	91192.0	81.0	80.0	68852.0	29.0	33.0	50992.0	81.0	85.0	58428.0	2602566.0
328	1308950700.0	0.0	4294901800.0	84810.0	172600.0	169364.0	262122.0	262143.0	175228.0	59058.0	90971.0	118044.0	80.0	99.0	88120.0	32.0	41.0	69736.0	69.0	110.0	124284.0	2617901.0
