	segment	fragments
0	PB2_vRNA	261505.0
0	PB1_vRNA	158479.0
0	PA_vRNA	239313.0
0	HA_vRNA	129322.0
0	NP_vRNA	232406.0
0	NA_vRNA	190791.0
0	M_vRNA	145670.0
0	NS_vRNA	205315.0
