	segment	fragments
0	PB2_vRNA	180442.0
0	PB1_vRNA	119427.0
0	PA_vRNA	210662.0
0	HA_vRNA	171397.0
0	NP_vRNA	221811.0
0	NA_vRNA	190312.0
0	M_vRNA	136370.0
0	NS_vRNA	173660.0
