	segment	fragments
0	PB2_vRNA	118073.0
0	PB1_vRNA	114456.0
0	PA_vRNA	185609.0
0	HA_vRNA	89965.0
0	NP_vRNA	157292.0
0	NA_vRNA	115221.0
0	M_vRNA	122882.0
0	NS_vRNA	154358.0
