"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
62352,50134.7,94.6155,78.71,203.155,0.344994
96777.1,63246.2,50.5269,30.8957,280.815,0.349459
50728.2,32935.4,27.176,17.2293,146.337,0.349574
70673.8,64219.5,64.117,21.4545,322.065,0.351592
67993.1,31898.2,44.5723,18.0875,160.784,0.354804
105596,81203.9,80.5361,46.8086,444.702,0.35583
60962,35795,67.5891,41.4601,181.002,0.360403
80792.4,40668.4,51.5625,21.5205,233.478,0.377131
111752,63554.2,62.6355,19.5399,341.578,0.381114
50367.6,34274.9,64.781,41.6582,127.169,0.382111
99243.5,62290.6,93.6511,41.4601,280.956,0.382864
92378.9,56983.5,62.5844,34.197,284.621,0.386476
95622.6,68271.8,72.4866,19.9361,393.665,0.387052
66654.9,38594.8,86.5898,24.4915,217.409,0.390824
59245.4,35145.8,47.5755,41.7903,205.438,0.391365
54008.7,40185.7,69.9364,16.8992,159.42,0.393938
76831.4,42641.2,102.678,63.5816,271.996,0.394157
54936.5,55783.4,88.1147,82.2285,248.303,0.398243
132535,74954,73.7102,42.3185,396.989,0.401721
49468.4,36161.3,35.615,-0.93192,176.347,0.402212
48778.3,38554.1,53.5819,1.91423,175.344,0.404153
72688.5,41822.4,70.5996,97.5169,261.115,0.411211
51035.4,37639.8,43.951,15.975,152.163,0.416637
41295.6,36188.4,34.3206,33.2066,140.65,0.441103
57679.1,29186,62.9932,15.6449,151.731,0.441455
39456.6,19699.1,59.4667,27.3304,90.2667,0.450186
75198.1,50031.2,27.9525,55.1949,237.241,0.452911
102723,51492.3,69.5283,68.2043,304.248,0.455488
61282,30728.1,98.2177,19.738,182.075,0.465877
100685,55900.6,82.1139,48.6576,325.986,0.466542
123309,79506.1,126.986,52.3554,396.158,0.469817
85650.4,42008.5,68.0995,16.5691,265.922,0.471902
71399.6,45921.2,58.1372,14.5886,249.012,0.473726
42899.3,31415.8,51.2,5.21471,190.229,0.483519
79193.5,58722,99.7388,63.1193,381.534,0.48708
83375.7,43384.1,37.22,-7.39323,234.827,0.491465
39073.8,22013,43.6921,27.1324,121.322,0.500639
34583.7,30576.8,38.7733,45.6861,127.891,0.509653
29408.3,16105.4,25.6746,11.4199,113.589,0.513435
64450,28900,57.3102,10.1656,178.066,0.519134
116625,65499.2,62.3801,30.1695,374.8,0.521964
70853.9,29185.3,49.6984,2.64032,156.116,0.523024
52787.1,30522.2,39.6017,11.816,142.522,0.524787
101523,49904.8,50.1127,30.6977,301.508,0.526822
67689.4,53217.8,52.9606,78.2537,194.517,0.528951
44126.7,34121.1,46.5917,24.4255,188.514,0.532585
113648,86259.3,99.0797,57.5062,449.988,0.534435
57534.3,38202.2,66.7213,24.4255,220.967,0.534655
75499.5,31167,49.0253,45.3559,178.496,0.537979
71059.6,44982.2,49.8538,25.4818,237.596,0.542463
66879.7,48579.2,71.3647,6.33689,239.086,0.545194
64205.5,34967.5,42.5012,24.7556,179.856,0.546795
108594,60696.6,74.6277,85.159,471.019,0.555761
103910,57541,53.0641,14.1925,234.685,0.561481
85870.9,56286.6,42.7601,21.3225,251.845,0.573575
31137.3,45927.9,78.8051,8.84535,384.795,0.576339
74629,39172.3,52.7017,0.79209,180.644,0.578509
114670,84275.1,97.3047,19.0778,354.902,0.582828
97634.9,52636.1,57.1549,17.6914,332.913,0.585034
45629.9,35179.6,72.9965,22.8409,155.972,0.609217
39851.8,24845,36.4434,16.6351,148.999,0.615456
52687.3,33301.7,60.9491,16.7012,226.657,0.617863
78638.7,51284.5,51.8214,21.7846,217.338,0.619927
46109.9,36900.7,46.2292,1.6502,210.428,0.622377
72800.5,50741.7,101.31,30.6316,349.743,0.625065
57814,23156.6,49.5431,81.7725,178.281,0.627497
85306.8,46027,32.7674,0.462052,273.337,0.635111
57942.7,37256.6,62.9421,40.5357,204.867,0.637107
67066.7,32722.3,52.4945,8.51529,152.307,0.639633
82043.5,32455.3,44.9865,33.7348,225.875,0.646447
70719.1,33539.8,45.7632,1.98024,213.777,0.647848
79258.6,32096.4,53.2713,10.8918,183.363,0.648085
32003.5,37989.6,20.8601,14.6546,198.445,0.651519
80777,40938.6,111.739,2.57432,249.862,0.653979
42258.5,18663,7.29788,-1.1183,96.2136,0.656741
85509.1,45443.6,71.1097,38.6209,230.85,0.659517
39005,12802.8,19.3071,20.3322,169.323,0.662454
96165.3,50158,63.453,-5.46726,243.058,0.664052
89125,73589,49.1288,11.3539,316.739,0.666361
118547,53462.1,67.7422,19.804,265.64,0.66706
99745.2,44592.6,44.1581,7.26106,208.433,0.670283
59449.8,34906.2,46.5917,-5.28088,208.718,0.671413
90039,44936.2,69.6303,23.9633,235.111,0.673654
24789.7,47421.9,76.0545,10.9578,252.27,0.676081
101559,64806.2,98.0655,63.3835,304.389,0.678268
87670.2,38499.1,34.7866,20.9264,202.299,0.67882
62112.2,25913.9,82.7245,36.508,151.803,0.682168
38374.2,42518.9,70.9567,4.35657,221.892,0.682636
52257.2,38316.7,71.1097,30.8957,245.256,0.682869
82183.4,54105.6,57.8798,35.9137,242.916,0.6832
102976,74659.9,92.2803,20.5963,394.981,0.687341
80572.4,38035.2,25.4675,23.8313,245.398,0.688421
102114,50122.6,41.3621,7.65713,281.731,0.691124
79466.1,41107.7,25.1052,15.7769,204.653,0.69276
41915.9,65934.5,87.4031,60.6099,369.935,0.694695
62971.5,36646.5,60.9491,30.6316,209.716,0.697729
70745.6,39533.6,47.8344,16.3711,211.284,0.698832
98896.7,69390.8,79.467,32.0842,327.876,0.699687
107470,60578.7,97.0511,55.7232,329.835,0.7001
61586.5,33039.6,44.5205,35.5176,160.713,0.707641
100564,65082.6,48.0415,38.2907,324.306,0.71613
91281.1,42473.4,93.6511,32.6784,304.108,0.728475
62804.9,38654.2,62.329,61.0061,205.438,0.730829
115941,60878.5,108.906,58.6288,385.973,0.734202
80850.7,60249.7,68.5588,-5.7779,288.354,0.746697
114340,43179.5,71.9767,7.26106,324.936,0.755889
79389.2,43219.9,35.3043,-0.807664,250.499,0.757605
39869.1,37914.7,46.1256,0.924106,126.231,0.757971
90726.8,46805,68.3547,22.2468,266.064,0.761627
34118,27383.3,24.1215,25.0857,121.466,0.769006
78122.9,57448.8,68.6609,4.22455,306.145,0.771715
83716.2,51740.9,54.6694,12.6082,282.507,0.773445
104730,53926.6,47.7826,25.7459,279.828,0.774147
39878.1,25686.2,69.0181,8.5813,145.329,0.775161
53160.6,30371,67.8954,25.0857,159.205,0.778158
74735,70860.4,104.502,46.2144,349.325,0.782623
56649.4,53863.6,48.611,3.1684,187.298,0.786581
68857,34630.9,59.62,11.948,201.157,0.802526
61551.4,31021.5,37.6342,29.5752,165.593,0.804555
95221.7,44727.6,105.11,33.8009,275.031,0.811454
42813.8,26411.4,15.6834,2.17826,98.533,0.811987
36312.9,29325.9,48.5593,11.75,124.932,0.824198
41087.4,26524.8,78.5505,44.3655,165.235,0.830926
77145.7,43772.7,60.4891,2.77234,214.062,0.835832
35669.4,44529.1,56.5853,62.9873,242.278,0.839652
84807.8,29696.9,39.6017,-0.372768,163.728,0.8443
52163.5,32986,53.0124,48.6576,180.572,0.848787
31930.1,22375.4,69.4263,18.0215,143.53,0.852625
87016.8,36388.1,65.9555,5.67678,194.017,0.853402
52849.1,24247.5,13.8199,10.6937,130.344,0.859396
73764,42374.5,50.1644,1.51818,212.139,0.864063
78334.6,32951.7,33.3369,28.981,171.761,0.86577
72923.7,54807.1,32.9227,-5.96429,233.762,0.865818
78919.4,40299.6,50.4233,-9.13282,228.647,0.869172
46255.7,23032.2,30.3858,21.2565,117.854,0.872603
112591,72766.2,80.6888,10.0996,267.123,0.873122
103697,44041.5,65.1896,17.4934,221.11,0.874948
84359.8,55130.7,44.8312,8.64731,298.767,0.875658
82865.4,37138.6,43.951,10.0996,233.904,0.877422
63159.7,35866.6,45.2454,29.1131,236.815,0.878471
30658.4,24110.9,26.6065,13.9945,154.607,0.881441
80775.4,50720.5,44.1581,13.0042,242.987,0.88164
82403.6,59715.9,49.5431,25.1517,230.281,0.883389
41123.2,21073.1,38.4626,25.0857,96.3586,0.884766
107882,60197.4,57.9837,81.0558,341.857,0.884839
76484.8,39267.7,71.5177,29.0471,238.234,0.888013
108998,46690.9,39.757,-5.21875,243.98,0.888094
94586,49441.6,49.7502,4.81864,172.478,0.889203
72065.3,32493,61.1536,5.01668,186.44,0.889299
45191.9,20127.8,55.4979,-10.0026,132.94,0.890362
85918,48918.9,49.9055,31.9521,240.079,0.890515
82260.4,41074.1,25.6746,1.84822,205.723,0.891998
98329.9,64218,97.0003,30.8957,364.998,0.892787
53165.3,26715.7,29.9716,12.3441,141.946,0.89289
56519.7,36293.9,64.9853,17.2293,201.728,0.893398
106878,62229.3,74.8315,21.4545,347.86,0.894572
82395.8,62619.4,163.087,71.1761,310.918,0.89643
116182,92688.2,93.4989,27.0003,395.466,0.896934
90378.7,59762.5,70.9057,29.4432,289.973,0.907882
74056.1,36217.6,61.5625,24.6895,189.729,0.911769
30164.7,22095.6,45.349,20.2001,98.6054,0.918929
53322.3,41279.1,54.1515,7.72314,207.934,0.921495
54314.1,43128.4,48.9217,20.6623,186.654,0.923808
106692,47083.2,43.5367,3.76248,248.516,0.931819
45769.4,48751.3,52.0285,50.9027,237.099,0.936191
77104.2,46347.2,43.8474,31.622,269.313,0.938153
73460,39498.7,48.4039,41.9223,182.648,0.943886
64427.7,55705.7,61.5113,21.0584,235.963,0.943985
96012.8,63779.4,70.0895,23.6332,316.038,0.946058
60152.5,32049.3,47.679,6.00684,123.993,0.946187
66231.2,48009.8,50.5269,22.5108,239.37,0.950759
108108,64936.7,86.7423,95.2423,364.65,0.953604
115910,52108.9,87.8098,2.90436,352.183,0.955609
37855.8,20257.3,51.9767,39.3472,96.2861,0.956421
63984.1,31877,29.8681,10.6277,174.556,0.957235
85819.4,49242,44.1063,3.63046,234.33,0.959302
