"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
50881.1,29499.9,18604.4,7206.04,206.65,0.875739
112388,65351.4,33139.4,7642.43,402.8,0.880758
79615.3,21364.1,16898.5,1892.73,7233.05,0.886127
44874,18324.4,799.251,298.314,119.299,0.888838
134883,51024.9,291.193,628.212,514.085,0.898472
45844.7,27639.9,367.118,347.398,147.416,0.953345
86504,37578.7,77.1753,460.652,264.155,0.954639
48614.6,20050.1,152.823,532.188,195.803,0.961861
74671.1,71239.3,49.3877,539.343,467.325,0.962731
66036.6,48272.2,38236.3,5581.46,242.987,0.971363
72008.3,40568.8,123.406,1826.44,283.493,0.9727
60810.9,47168.4,980.028,626.736,285.607,0.975948
72827.6,51686.7,285.892,490.025,316.669,0.98535
71066.5,36440.4,735.874,419.516,259.277,1.00372
102073,41034.3,4639.13,2886.22,286.664,1.01677
106005,47751.4,488.592,465.65,274.82,1.01772
55681.4,23594,3280.89,947.887,169.395,1.0208
85771.2,42214.9,180.609,6197.7,324.446,1.04721
47015.2,27437.9,344.04,500.93,226.941,1.05209
93755.6,52813.4,9166.85,1287.35,1503.32,1.05329
51280.2,32096.5,468.473,359.214,220.185,1.07185
105227,42150.4,219.85,691.929,322.135,1.08665
42934.7,23555.4,8938.34,2912.44,149.286,1.09925
22045.8,22619.6,967.557,279.633,212.352,1.1028
90926.3,41106.2,225.626,312.113,275.455,1.11216
41168.6,38610.8,549.932,352.625,190.229,1.13353
69068.8,37790.4,171.382,472.834,223.244,1.13451
94265.1,43105.8,1377,400.434,309.514,1.13764
52742.3,47946,4056.17,2997.61,368.684,1.14505
56191.4,36434.3,44001.8,6320.96,249.649,1.15436
78733.6,38397,148.61,514.591,276.654,1.17075
78414.8,39230.9,1109.61,606.317,283.564,1.17708
75783.5,36552.6,470.848,1466.84,189.872,1.18735
46540.4,18349.2,150.015,515.798,166.096,1.19474
39114.6,39679.5,6534.84,2350.61,567.014,1.20821
37463.8,51017.1,664.313,404.81,250.429,1.21435
94831,40589.3,20231,3767.07,316.599,1.21957
93332.5,43268.9,741.281,335.869,362.562,1.22276
74219.3,33720.4,132.175,645.895,270.443,1.22577
94914.2,65241.7,52937.6,5745.91,348.557,1.22884
78646.9,37993.4,20351.3,5117.11,245.398,1.22938
111405,67398,29718.7,2718.35,292.648,1.23241
91627.2,57966.6,59128.7,8172.5,427.438,1.23432
120673,65091.9,506.579,627.976,382.783,1.23567
42477.8,31531.1,14540.2,6880.74,178.711,1.2426
82101.6,29950.3,8939.41,1320.03,1727.07,1.24465
90906.7,53792.6,115.126,515.255,258.994,1.26432
51009.7,22693.9,283.604,402.284,164.517,1.29721
61702.6,46840.6,39176.9,3945.38,320.244,1.29962
76930.1,64027.7,14166.8,6800.97,345.557,1.30961
91199.4,42190.6,194.439,509.88,316.529,1.3102
53980.8,40520,273.563,481.467,353.717,1.33213
58415,35673.3,688.036,390.189,218.334,1.35035
86298.4,44585.5,12416.9,6939.01,5586.86,1.35101
58115.8,25659.1,732.659,257.665,230.353,1.35347
123307,72439.8,2679.76,788.031,500.762,1.35535
107797,38829.5,173.628,555.12,327.596,1.36348
113358,71575.4,2451.82,765.417,427.025,1.36733
102143,58363.8,263.058,452.657,325.006,1.37234
109962,50024.8,12930.4,7000.33,394.842,1.38533
71653.5,35178.2,214.562,676.925,223.528,1.39412
59878.8,33866.6,245.315,321.002,198.445,1.39802
137577,74309.8,270.194,681.717,434.322,1.4176
76863.8,43497.1,34240.3,8558.88,340.461,1.43039
20520.2,38577.2,32436.7,5725.34,273.549,1.43574
47837.9,29341,546.961,389.385,152.235,1.47994
24700.1,44254.6,227.007,1086.87,439.067,1.48084
120135,47593.5,238.286,525.626,375.772,1.50794
34087.5,18619.6,152.171,388.088,117.637,1.51598
79560.7,51327.6,30937.9,7257.73,14101.5,1.56245
102013,55796.7,1289.7,964.102,364.232,1.57112
101677,40331,177.02,532.248,327.176,1.57872
43218.7,27480.1,1093.24,479.766,169.753,1.57917
73441.3,33772.2,1964.29,383.203,267.123,1.61302
87918.5,38870.8,88.4196,9452.4,317.791,1.61469
49439.2,32122.3,191.607,635.883,186.511,1.6192
78931.6,50596.1,134.038,522.674,405.842,1.63017
89702.8,30021.7,336.208,557.216,263.519,1.63387
63863.4,38706.6,248.506,793.002,308.883,1.64308
86177,37841,50281.2,5887.75,257.013,1.64803
88467.4,53080.9,33944.3,5482.86,347.79,1.6734
91380.8,58814.6,51505,8006.56,312.952,1.67416
75413.5,30143,861.702,418.901,217.978,1.67992
81323.1,38174.8,59.7223,947.763,240.576,1.68165
65404.7,29558.4,531.046,596.76,177.278,1.71583
95014.2,58699.6,46869.6,5880.6,363.049,1.73286
112430,77712.5,3478.37,3487.24,3489.01,1.73454
91653.9,42168.3,33927.4,2522.96,14263.1,1.74153
80427.4,41340.2,174.776,983.61,250.429,1.74771
51997.9,33526.2,22015.7,6566.31,237.525,1.75197
35230.1,29308.8,22928.9,6744.37,220.754,1.76641
93454.9,54104.6,1248.34,726.525,317.09,1.76743
109723,43405.3,133.786,628.212,298.415,1.76765
95479.1,44235.7,218.665,521.287,310.356,1.79112
82355.1,42685.9,496.324,606.08,250.358,1.7994
121043,70609.4,8562.7,9498.38,2146,1.80155
23742.6,37817.7,9489.73,13945.7,242.207,1.80813
29894.3,27132.8,226.07,275.725,259.772,1.8182
58291.8,27921.1,217.923,538.922,205.01,1.8239
61892.3,31231.8,330.914,675.346,284.339,1.82563
68210.7,29559.8,184.095,312.301,252.341,1.8295
87203.8,70079.4,22186,5422.78,434.459,1.83332
73003.1,38503.9,94.9708,445.752,237.525,1.84285
49853.2,27647.6,102.881,555.599,178.639,1.86222
56110.6,37910.7,650.965,1314.38,3627.25,1.89833
70543.1,29414.4,143.791,1452.8,206.008,1.92107
96097.4,37764.6,28819.4,3418.97,210.428,1.94186
74734,47452.8,1082.28,541.985,264.792,1.94468
96490.4,58383.8,547.009,525.024,332.354,1.95195
98002.9,73412.7,450.313,560.029,334.661,1.95259
38698.8,27526.5,32007.1,4342.75,243.2,1.95327
119565,61955.4,341.543,575.923,389.439,1.95419
