"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
122744,64430.7,93.0419,704.345,442.71,0.818839
100349,47906.4,69.8344,429.277,381.604,0.833554
91429.2,50939.6,39.291,452.596,291.874,0.881967
87536.4,65850.1,111.688,613.666,373.341,0.926026
105645,34724,49.1806,571.088,245.043,0.936011
83193.2,42533.9,43.7956,438.837,266.064,0.94477
76383,32157.5,78.7542,390.868,239.653,0.979443
66320.8,27061.3,60.7447,541.025,210.001,0.980526
71091.6,43020.3,41.5692,318.687,244.193,0.987392
65313.9,33076.3,52.5981,408.567,207.577,1.00757
54356.8,36884.8,38.5144,321.127,182.147,1.00829
55723.5,39615,54.2033,471.07,269.596,1.00961
64022.5,30961.7,57.828,503.411,194.374,1.0267
83647.3,37765.9,139.068,695.958,294.336,1.0334
99667.7,84258.2,81.7577,817.604,483.248,1.03772
98359.8,68989.1,69.3752,571.685,384.309,1.04271
52057.2,21917,59.5689,512.055,145.401,1.04481
56900.8,35996.7,67.6402,413.614,261.964,1.04717
72882.7,22802.5,58.5974,437.796,235.466,1.05399
91378.9,59399.1,45.1936,424.675,285.396,1.05506
92211.4,43550,59.9268,611.533,316.319,1.05607
58405,35555.1,65.3428,255.514,232.129,1.05638
94897.6,47748.9,69.5283,664.161,286.03,1.05772
43163.5,30219.4,51.4072,430.075,162.077,1.0741
42255.5,25049,41.2067,240.627,166.885,1.09484
38707.3,22442.1,61.1536,339.236,142.594,1.11443
47373.7,28993.2,66.5682,386.728,156.69,1.138
41453.8,27460.8,46.2292,478.307,174.054,1.15984
131134,60848.7,101.513,560.209,466.367,1.1684
46341.6,23976.5,50.6305,389.571,183.864,1.17017
57354.6,43150.7,45.8668,344.533,203.869,1.17319
73900.5,36041.5,28.3667,466.016,222.39,1.18045
77051,37763.1,80.2816,465.224,203.583,1.18303
78317.5,59372.3,136.352,826.054,343.603,1.18616
104230,66778.4,65.8023,643.836,457.463,1.18706
75221,38566.1,101.412,406.042,280.11,1.1871
98512.8,89246.1,193.992,1111.53,597.687,1.18856
54769.1,30516.2,67.6912,504.137,200.586,1.20381
30492.5,18115.7,65.8023,328.503,142.306,1.20474
82469.3,36605,30.3341,367.346,224.382,1.21479
48936.1,27800.3,56.4817,433.079,239.937,1.2236
60479.6,37260.1,66.6703,317.06,220.113,1.22727
94196.7,62929.6,89.7408,634.409,380.424,1.23328
56473.9,32650,73.8631,502.322,218.975,1.23517
83105.6,50209.9,72.7415,385.43,322.135,1.23557
88248.8,81117,293.137,297.749,365.137,1.23988
90591.8,48905.6,49.6466,340.857,322.485,1.24345
80791.5,40528.8,96.9496,498.751,241.356,1.25127
90168.1,49549.6,63.1976,694.144,305.653,1.25656
51315.4,33138.9,70.8036,364.119,230.708,1.25837
49523,35375.5,37.22,511.753,176.848,1.27438
60134.6,40277.3,79.3652,292.157,239.511,1.27688
32348.5,27910.9,52.5463,239.676,157.337,1.28295
58315.6,44853,91.671,447.036,237.95,1.28696
73651.4,32537.5,64.7299,386.357,220.256,1.28802
53530.5,28040.9,61.5113,308.667,174.054,1.29077
70382.2,38749,39.4463,507.584,305.302,1.32332
45288.1,54268,37.7377,416.935,304.108,1.34807
79278.8,49912.1,59.4155,560.388,244.051,1.35409
71456.4,38800,84.5558,424.859,223.67,1.35797
55834.4,31406.2,37.6342,257.981,237.95,1.36389
75687,39966.5,12.3188,418.41,193.588,1.36776
55969.9,25843.8,57.1549,354.801,181.288,1.37479
105242,52066.1,76.0545,464.127,323.606,1.38082
71636,39113.3,63.7084,432.834,233.62,1.38702
70191.8,40597.2,44.9865,339.61,252.27,1.39957
31141.6,18427.9,65.9555,252.35,147.848,1.40018
106160,60282.2,74.9335,789.771,385.557,1.40476
84646.8,46041.1,51.8214,508.369,268.042,1.42414
73956.6,47766.8,58.9554,565.651,253.828,1.42463
40249.4,18020.4,30.5929,398.646,95.1987,1.42826
76242.8,39034.5,85.878,491.966,286.241,1.43954
14164.5,18640.1,42.6047,68.4685,141.01,1.47445
74958.5,38112.7,63.0443,810.025,242.349,1.49339
80520.4,33089.3,27.849,262.343,209.431,1.49662
115188,50130.7,80.6379,469.183,320.244,1.49665
112550,57780.1,70.8547,464.127,341.368,1.50034
95049.9,62395.3,95.0723,630.81,359.917,1.50388
73726.1,41197.8,43.3296,399.386,189.372,1.51176
103358,63988.1,77.6847,464.37,419.443,1.51527
