"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
93039.5,44339.2,73.3024,403.763,303.827,2.11653
44615.2,28466.4,62.0224,322.941,122.261,2.12704
64518.9,45973.3,77.9903,359.214,249.083,2.19439
127132,79906.2,177.569,511.39,526.904,2.19588
58007.1,34426.1,117.702,558.473,248.374,2.27759
54619.1,31061.9,54.6176,287.188,190.444,2.28219
51115.6,31893.4,47.0577,307.413,178.567,2.28379
128104,79139,41722.7,882.466,541.386,2.29037
97437.8,43800.9,67.7933,418.84,323.676,2.29469
115545,56840.5,133.887,505.589,329.835,2.34542
70116.4,22253,62.6866,234.153,160.713,2.34622
69353.7,45607.1,97.254,267.081,249.862,2.43007
64785.5,44362.7,78.0412,349.95,309.304,2.44041
56472.7,39328.7,70.8036,338.613,225.022,2.44624
89796,35663.5,63.1976,279.065,228.007,2.48221
92118.1,55513.8,91.7217,487.174,380.632,2.488
39319.4,16912.8,98.1162,323.691,141.082,2.5663
101527,62118.1,98.1669,553.802,375.494,2.57813
100200,57036.9,83.335,675.638,361.24,2.58513
65535.6,37173.7,28.1596,263.607,218.049,2.60507
88929.5,50818.6,101.564,336.305,289.41,2.61851
59490.8,32106.3,82.6227,502.02,214.204,2.63783
54142.6,32708.6,50.268,460.896,188.013,2.67106
92394.7,35144,65.547,320.189,279.475,2.67756
91960.8,44198.8,64.1681,504.5,306.425,2.70377
45558.8,35118.7,77.8375,411.399,181.431,2.70929
48720.2,41711,104.249,456.992,239.086,2.72545
65213.1,50425.1,59.62,217.174,252.482,2.73492
48102.6,20541.1,67.436,365.422,208.29,2.75541
96457.6,45670.1,78.2449,324.504,267.9,2.78423
109397,41850.9,106.021,425.412,305.723,2.80042
38642.6,23463.8,278.733,306.66,122.766,2.85274
92251.5,51265.1,118.813,514.349,400.794,2.89478
102148,44356.3,88.7754,533.993,303.616,2.90889
106159,49917.4,102.628,737.087,391.449,2.91387
115402,67549.4,86.8948,426.455,355.32,2.94804
61880.4,28139.2,64.9853,449.664,256.517,2.9778
57829.4,38577.6,127.893,636.767,218.334,2.99286
54131.6,35102.1,76.4112,662.461,272.279,3.00941
60862,31986.7,45.0901,568.818,221.679,3.02271
80860.4,39550.9,428.26,357.598,231.276,3.03911
77253.9,30790.9,164.838,369.454,220.113,3.05305
84414,39163.5,94.2095,437.49,310.567,3.05633
43164.5,27050.2,55.4979,301.516,183.292,3.06143
84918.2,46004.8,107.388,517.005,450.331,3.08327
75377.4,38403,48.145,376.643,292.507,3.1212
79860.7,40580.4,63.9127,282.656,305.793,3.12327
67763.9,36791.7,65.6492,387.964,220.256,3.12349
45689.3,28940.3,83.1315,507.463,189.443,3.12396
72508.2,40404.5,101.766,507.705,263.661,3.24871
65565.5,34071.9,92.9404,394.696,256.022,3.26157
52888.8,36548.9,46.1774,268.596,194.66,3.28797
51215.8,41096.6,125.323,426.087,250.004,3.29078
73242.1,44312,84.5049,275.851,255.243,3.38491
110612,64065.6,166.887,578.785,489.387,3.40395
82069.5,48752.5,113.559,407.274,325.706,3.43651
98156.1,42675.2,90.5028,368.834,297.712,3.44327
48940.2,29188.4,52.4428,176.977,187.727,3.44681
83982.7,40651,88.0639,418.778,298.064,3.4644
32013.7,27416,61.0003,353.495,165.88,3.46791
85151.5,36321.1,55.2907,530.864,263.095,3.46845
88372,46022.8,112.75,657.532,308.251,3.4713
50704.5,63080.5,73.6082,408.259,382.02,3.4803
50159.3,36717,83.8437,331.063,238.944,3.5033
81689.1,41984.5,42.3976,389.941,285.677,3.50469
63871.6,56105.5,33062.4,10742.4,296.236,3.52101
66408.9,40417.6,64.4746,382.028,282.788,3.52904
44705.4,29145.1,75.4431,277.868,151.156,3.54405
48957.8,32157,90.4012,384.502,212.709,3.55969
48927.7,43415.4,109.716,429.155,199.873,3.5771
59175.5,34222.9,79.7216,378.624,266.841,3.58528
49278,26011.2,43.5885,246.333,188.013,3.62698
46437.8,24534,71.3647,269.732,166.669,3.66053
51199.1,28553.8,33.3369,310.797,153.6,3.68293
79946.2,39216.5,78.7032,433.508,308.181,3.68604
78685.7,63844.1,1270.22,339.174,346.255,3.72458
114627,64920.5,96.3916,468.878,390.34,3.72637
112365,56197.6,75.3411,338.426,356.853,3.72855
48414.1,41845,69.3752,336.555,283.423,3.73524
65915.6,57556.1,111.638,729.818,350.998,3.81753
90512.3,46422.5,94.1588,384.255,333.542,3.83438
95400.5,54491.3,115.328,322.565,378.966,3.83968
75571.8,35082.2,57.9326,493.845,249.649,3.87665
63622.1,25938.2,82.6227,488.023,183.578,3.88587
42001.6,35185.2,107.337,372.926,161.574,3.88729
115633,59908.1,83.7928,625.436,387.707,3.88794
93461.4,45328.2,106.882,578.07,318.562,3.94306
