"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
57451.3,41653.4,25345.2,2694.99,206.151,1.3448
79241.6,61049.2,2100.6,472.773,350.092,1.35704
52134.4,37195.8,219.01,466.99,239.724,1.37564
63794.6,54091.9,97481.2,1942.93,295.321,1.40925
57452.9,32652.2,383.939,487.113,257.932,1.41148
47547.4,19624,1573.27,445.813,171.976,1.4146
56747.5,37140.7,22282.9,4770.56,185.581,1.41876
38824,26453.9,327.156,254.249,138.129,1.4315
82483.3,36737.7,4009.41,278.057,287.157,1.43808
46629.5,24322.7,300.418,459.005,157.05,1.47497
126701,69288.2,1182.92,540.304,449.576,1.4864
68374.2,34367.3,357.797,321.502,187.799,1.49397
69532.9,37566.3,501.732,429.952,304.74,1.50268
52779.6,32965.6,470.522,436.326,288.354,1.52267
113106,49644.3,257.38,459.554,365.554,1.53118
97438.2,47848.9,267.361,327.691,403.284,1.54383
49188.8,22888,22684.8,2975.25,172.334,1.54652
84601.5,39707.2,146.954,479.887,242.633,1.56705
66771.1,40850.5,774.991,413.983,248.303,1.59662
80769.6,43700.3,281.705,559.73,254.323,1.60086
43588.1,29352.1,784.977,468.147,153.313,1.60347
45382,26043.6,44.3134,393.832,154.75,1.60396
86896.3,46716.8,446.989,500.688,267.759,1.60888
118522,56676.1,931.266,477.517,404.045,1.62498
86967.8,45483.9,3240.5,364.678,330.465,1.62893
79603.8,30689.2,82.8262,359.152,258.498,1.629
52335.1,30779.9,378.657,311.8,216.483,1.63183
93181.2,36141.8,98.2177,5069.15,261.752,1.65049
96812.7,37606.4,777.475,174.989,303.405,1.65307
58863.7,24391.8,123.255,416.689,125.221,1.65443
68099.5,41165.6,803.196,322.253,285.466,1.67807
42924.3,23498.1,18087.6,1644.84,152.81,1.69011
123755,62175.8,866.768,414.659,416.822,1.69916
100389,64727.2,22545.4,624.018,381.048,1.70072
99287.1,38608.9,161.837,341.605,274.82,1.70379
74436,39230.2,138.062,542.166,253.19,1.71791
71419.5,32607.4,25845.1,803.626,248.232,1.72026
28352.4,43313.2,1473.94,443.244,239.37,1.76626
50854.2,23611.8,542.444,189.98,175.702,1.79514
79415.5,34988,231.394,247.347,187.727,1.82585
38090.2,26247.9,401.971,431.546,216.839,1.85066
63682.4,31909,2452.85,1054.75,260.055,1.85415
59574.9,46271.6,109.21,3567.02,234.898,1.85467
45023.8,28027.7,21488,3336.4,102.373,1.85765
48831.8,24263,193.247,461.628,218.904,1.86083
18423.4,22643.3,5944.72,2039.97,165.809,1.86192
42236.1,23828.9,194.191,753.178,183.936,1.87082
58168.2,29673.9,398.466,364.119,214.276,1.88112
47506.8,26524.5,111.486,391.239,161.431,1.88628
54022.6,33285.3,1560.07,378.872,213.92,1.88711
62360.1,47524.7,129.355,407.582,221.038,1.88894
96420,61947,766.271,2036.56,365.972,1.89091
66677.7,41371.6,4010.28,718.013,209.074,1.9033
80258.7,48088,367.643,556.437,399.272,1.90516
61941.2,33967.8,41975.2,4242.04,198.588,1.91068
55472.7,24425.6,177.07,381.286,171.976,1.91387
95737.5,48008,43970.6,2052.96,345.348,1.96183
56601.4,35861.3,100.702,319.25,238.802,1.99163
94697.5,85253.9,173.529,4217.56,529.749,1.9976
120006,50651.8,493.918,448.442,364.789,2.00649
94690.3,73532.6,341.543,454.184,374.661,2.01079
51829.1,28692.5,1580.96,353.931,224.737,2.02136
52391.1,28678.5,303.811,216.919,193.445,2.02851
60635.7,45891.3,960.689,374.413,267.971,2.03398
82887.5,34924.9,735.776,353.806,261.257,2.03581
125938,66566.3,383.939,425.78,472.797,2.03798
38665,44952.8,312677,4774.6,237.525,2.05206
64242.7,42634.5,436.345,328.065,247.666,2.05515
131265,83610,669.964,998.211,629.397,2.05593
54880.4,32981.7,186.833,391.609,261.469,2.10704
81743,54058.1,117.349,413.122,337.526,2.11092
95395.8,55812.3,144.143,597.889,377.022,2.13088
124529,56183.6,358.467,608.926,422.822,2.13219
53574.1,52168.3,22041.7,509.88,298.275,2.13416
114172,57152.6,171.033,456.32,419.098,2.15616
43510.3,30274.2,525.77,413.183,186.583,2.1681
62244,21830.4,1420.5,317.123,147.92,2.17339
80767.8,79333.5,148858,5349.53,454.927,2.17889
109245,67641.5,832.571,503.23,356.644,2.19235
82326,30122.6,266.041,354.988,219.758,2.19464
48545.3,22477.9,359.615,263.102,105.559,2.19509
73974,46464.9,220.245,422.035,303.827,2.19625
86504.9,46303.9,115.177,7138.44,286.875,2.20683
64430,33788.9,160.035,581.766,222.39,2.21032
45346.8,21828.3,13631.2,930.926,604.711,2.21599
89153.3,53803.9,769.34,345.405,379.591,2.21625
38984.4,19170.3,130.11,500.386,112.36,2.22711
28431.9,24178.7,340.726,542.346,136.544,2.26388
78720.9,40314,485.346,270.994,292.014,2.27338
63420.8,33636.9,7685.27,1111.66,190.658,2.28714
42362.9,30579.1,1842.27,353.06,187.727,2.30025
99416.6,53799.5,73208.8,8494.7,357.34,2.30226
48820.2,24995.8,51.0965,457.48,161.143,2.30697
80790.9,44356.3,106.781,363.064,257.083,2.33227
52847.6,27619.1,448.628,430.381,145.977,2.33526
91471.5,50964.7,1630.94,493.178,315.898,2.34604
34897.3,23756,641.222,399.817,204.154,2.34891
99463.9,47989.7,233.413,448.381,290.044,2.35537
98284.1,54770,125.171,380.11,300.384,2.35926
40639.8,29178.5,929.122,296.367,119.949,2.36957
68338.8,36815.3,12391.2,341.917,313.654,2.38311
112003,44053.3,869.253,475.45,380.91,2.4101
86297.5,39490.5,597.526,348.58,297.923,2.41702
61647.2,35611.7,202.628,287.754,240.647,2.42103
52059.9,29039.1,1549.3,139.798,181.073,2.42693
70492.7,47565.8,4459.91,474.234,278.629,2.42856
71167.6,36517.9,108.653,495.723,238.873,2.43056
86195.9,60865.2,325.131,297.058,392.419,2.43478
75627.4,51586.1,42537.4,6381.54,268.819,2.43798
126218,79631.2,411.902,649.777,517.072,2.43941
42123.1,28923,111.082,301.516,157.553,2.45566
100410,55802.7,60.6425,708.943,343.324,2.45997
43277.2,37981.8,825.264,520.262,215.7,2.4616
36796.3,24851.2,536.635,253.996,175.631,2.48596
74798.1,60610,464.932,435.714,332.354,2.5096
104829,56073.6,187.828,254.692,310.286,2.5238
101827,40850.7,145.549,413.921,316.669,2.54615
38145,19051.3,112.953,218.129,112.722,2.55552
132788,63340.5,2340.61,1965.67,463.492,2.56161
76604.8,45528.6,506.395,540.604,275.455,2.5697
56692.2,28034,8364.34,1963.49,218.405,2.57804
42359.1,20884.8,775.381,400.866,133.084,2.59055
128304,63125.8,1705.33,481.346,478.264,2.59401
87611.7,59174.7,75099.9,6636.2,358.455,2.60189
60337,44619.1,532.558,395.005,153.457,2.6103
88185.3,46820.1,398.94,364.305,334.381,2.63555
97702.8,59283,48948.1,3981.35,399.342,2.63851
27887.5,12624.8,102.83,339.112,106.138,2.64316
98352.1,61781.6,96.5438,622.186,365.206,2.67912
38001.5,28001.1,357.318,268.281,172.191,2.6934
74059.9,34453.7,475.175,330.314,207.72,2.74586
60222.9,41558.5,125.323,220.994,246.39,2.75937
51197.2,31404.7,321.802,404.009,187.226,2.76054
54231.1,38092.9,58517.3,4910.91,190.372,2.76617
55446.8,27301.7,168.336,351.629,192.016,2.76817
96756,60599,91.4678,459.432,312.672,2.77183
93820.9,34887.6,753.118,623.25,281.802,2.77785
76736.9,31673.8,13715.6,2207.22,250.924,2.78743
49996.9,28595.9,80.8924,232.883,213.635,2.7915
80462.6,48764,908.565,522.613,260.337,2.80448
60302.1,41155.5,1962.2,3258.43,220.398,2.81592
66815.6,46266.1,115.732,363.623,288.283,2.8746
78010.2,62631.7,3760.96,790.703,416.684,2.88273
83696.2,33106.8,206.494,309.481,269.454,2.89314
55279.3,38700.4,1149.6,798.718,227.652,2.89656
109560,34792.1,122.195,398.46,310.988,2.89757
89083,63574.3,163162,9148.84,369.101,2.9154
111789,54146.7,322.478,651.365,308.321,2.91636
58220.1,34868,347.879,462.481,223.813,2.92162
71713.9,35346.6,4475.16,2794.83,306.004,2.92845
36960.4,15194.4,941.057,298.251,112.288,2.93382
65222.6,34671.7,84.1998,432.343,205.153,2.93692
61377.3,27217.1,881.431,215.072,152.235,2.94743
126041,66301.5,6131.92,434.488,421.65,2.9515
20558.5,17548.8,205.85,234.09,103.459,2.95551
44842.5,25622.5,69696.1,5487.64,208.789,2.96496
24656.3,27396.8,68.5078,170.112,155.756,2.96817
74463.6,39748.5,83.6402,319.876,228.86,2.97104
75671.3,42814.8,48671.5,3581.68,277.148,2.97576
56341.6,30133.1,256.106,406.597,239.157,2.97781
89906.3,38587.8,582.327,419.147,315.688,3.01206
106849,55542.3,80.7397,379.615,350.161,3.01211
49090.1,28959.8,105.616,252.983,229.642,3.01805
75426.7,39259.6,411.619,361.325,254.182,3.02142
59112.1,24381,13346,7484.99,163.512,3.02237
51342.4,27908.1,146.302,467.965,196.945,3.02424
69527.8,41602.2,315.089,415.951,271.996,3.03181
96116.1,52584.9,855.369,306.033,349.952,3.05879
47087,40568.6,640.833,805.552,264.721,3.07775
69436.5,38601,601.618,4696.63,255.314,3.08532
45920.1,39389.7,1404.33,270.616,261.186,3.10465
37372.4,22412.2,126.281,276.292,147.128,3.12381
72212.6,37592.8,420.632,398.152,331.934,3.13796
52875.7,36524.9,443.147,547.747,225.519,3.17302
77986.9,45635.9,564.888,498.025,240.079,3.18294
47831.1,24283.6,124.011,340.172,249.862,3.19737
55507.3,46737.5,1109.46,415.828,358.664,3.21274
51232.4,31822.4,423.27,421.605,153.169,3.21437
109015,47179,82.3174,349.514,327.596,3.21872
72013.5,46107.7,3697.39,457.968,374.452,3.22147
78308.3,35367.3,743.181,515.375,237.738,3.23827
61893.9,32693.8,226525,822.388,207.292,3.23881
50366.2,22751.8,199.553,492.996,149.502,3.24775
59956.8,27419,294.837,385.244,233.691,3.28248
59002.6,22188.7,188.872,420.438,184.651,3.28785
39619.3,27116.2,1110.34,288.446,165.163,3.29222
70428.1,66808,210646,5082.88,301.297,3.30134
62972.8,35291.1,114.722,365.174,258.498,3.31695
62059.1,33142.5,88.0639,261.079,231.063,3.32112
86473.1,48490.1,151.419,514.168,310.146,3.33393
88699.3,41124.4,210.01,5965.47,250.854,3.33759
70129,34535.5,202.231,324.379,215.273,3.3407
69665.6,22448,75.8507,328.878,230.708,3.34361
34018.5,26662.6,161.537,260.131,182.147,3.35122
50178.8,26524.1,492.298,435.04,181.288,3.35344
54341.7,45887.9,3258.77,487.356,246.815,3.35564
37432.1,20706.9,335.486,433.508,170.399,3.36228
75024.1,46542.9,340.822,452.352,272.279,3.39726
102768,55052.2,696.513,400.989,424.338,3.4002
85520.8,49240.7,132.175,247.347,265.852,3.43411
82447.6,40149.9,851.277,620.708,273.69,3.43987
30650.9,21465,1294.87,274.779,167.817,3.44291
48790.3,28175,82.4701,317.749,172.191,3.45369
75616.7,42102.2,806.558,327.191,279.828,3.45544
53831,32027.2,197.468,303.022,159.851,3.47578
62267,31323.4,41.8281,319.751,211.782,3.49008
65767.5,35072.1,555.34,299.633,223.742,3.50145
71055.6,27750.7,920.061,245.256,229.002,3.51417
73950.1,42006.7,1466.1,350.385,258.994,3.52467
115729,57321.6,271.073,345.343,412.957,3.53005
68195.9,28648.4,61.0514,232.566,203.441,3.54249
101280,53277.1,479.126,730.936,459.656,3.55606
54502.4,28547,3140.54,430.749,228.292,3.5593
61146.5,34613.5,117.652,352.562,191.802,3.56642
103297,66142.2,1251.37,620.708,400.518,3.57368
49040.5,31556.6,409.351,492.935,197.445,3.57704
52277.4,23522.1,114.115,254.059,160.569,3.57722
103820,49991.3,298.963,215.008,350.789,3.58202
78554.3,41270.2,105.515,543.547,314.145,3.58683
93288.4,62989.2,1244.4,823.693,521.346,3.59047
59956.6,54962.6,296.827,648.248,333.333,3.62157
102767,49174.5,404.432,403.516,326.756,3.62536
39120.6,27067,1384.6,246.587,147.92,3.62739
89927.1,45841.6,414.264,528.517,322.485,3.63993
98875.9,59453.4,357.988,474.355,369.866,3.64738
70006.3,34009,258.702,491.662,226.017,3.65359
37308,27462.3,993.132,444.896,143.026,3.6912
51648.2,37112.2,94.1588,337.615,183.721,3.70434
72516.1,36454.7,1209.57,385.306,252.907,3.70814
84126.5,44359.8,241.04,298.377,290.114,3.73532
109136,49005,215.402,463.091,379.244,3.7583
30084.4,16761.4,149.714,253.426,122.838,3.78599
45035.3,26751.3,156.831,479.037,181.861,3.78811
92440.4,28745.5,1525.58,402.099,241.923,3.82035
84513.1,37569.5,846.99,386.357,307.128,3.82155
92695.9,51681.7,2276.11,465.467,342.137,3.82304
70026,78186.1,987.628,455.527,459.382,3.82901
30597.3,17245.7,397.281,333.123,190.944,3.837
43324.2,26253.2,182.054,345.467,158.271,3.84665
55499.9,20133.8,2502.39,327.253,185.152,3.86019
108742,93582.1,1137.76,911.107,521.821,3.86406
87564.9,45789.3,1507.75,310.108,390.34,3.87483
43314.1,31451.4,127.541,381.286,174.126,3.88173
95745.2,46623.1,131.772,539.403,306.215,3.8912
74400.9,55254,168771,5825.74,362.005,3.89724
81376.2,53950.8,1513.69,287.503,295.743,3.90504
75967.6,40196.3,881.87,317.936,320.804,3.90684
78605.4,30596.5,309.139,390.559,218.975,3.90937
72493.6,27192.7,79.2125,449.786,236.176,3.92116
43621.3,31185.9,3388.64,337.116,177.851,3.93813
74901.1,53446.6,93.2958,817.48,351.905,3.94108
65014.6,31143.4,307.88,242.149,234.543,3.95942
41029.5,20548.1,1013.25,247.854,163.153,3.98337
57104.5,41834.1,1290.63,237.518,273.549,3.98357
71511.7,40843.6,131368,2924.86,233.62,4.00669
64944.5,39872.3,66536.8,6283.94,205.438,4.0213
98965.3,50628.7,48.5593,344.782,272.632,4.05081
131555,68349.5,86845.6,13338.1,421.029,4.05509
110870,72642.6,4320.54,444.529,397.542,4.06298
74090.5,42072.7,48701.9,6875.39,249.72,4.06597
91952.6,47353,1381.53,592.838,349.743,4.0785
57011.2,25226.4,1085.15,401.236,176.777,4.08536
69747.2,30036,168.586,376.024,232.2,4.11321
44556.3,24968.9,297.167,388.459,157.696,4.15022
69091.5,34173.2,633.964,3499.86,267.477,4.15518
46651.3,34601.5,796.669,611.119,289.903,4.15926
95508.2,59939.1,1137.52,522.674,420.616,4.17655
47766.8,33982.7,73204.9,4918.11,199.016,4.19795
93822.9,39512,429.672,521.468,346.395,4.20532
88212.7,41787.2,585.299,589.745,257.437,4.21715
87047.6,42979.7,616.378,292.722,296.165,4.22823
58758.5,45058.3,1625.54,335.37,300.243,4.23526
72430.2,52979,1422.01,465.345,279.828,4.23793
94881,58004,335.678,407.028,400.241,4.25349
38452.4,34034.5,6947.54,675.404,196.517,4.25707
56296.1,55405.8,191.706,307.538,335.15,4.26127
46999.9,48831,612.238,370.695,283.141,4.29482
36675.6,20942,46.0739,248.804,140.506,4.31851
75045.7,38973.4,1607.61,428.296,326.336,4.32568
85517.2,41217.3,1008.62,631.046,295.743,4.32938
30097.6,26752.5,5923.72,1439.88,205.224,4.33296
85647,36808.7,622.078,410.168,326.756,4.36072
56751.7,31044.1,134.893,6697.9,169.252,4.37378
43997.2,26680.5,110.677,339.049,233.691,4.3874
52696.7,43658.6,142.787,311.863,258.357,4.3898
76045.3,35447,279.853,372.492,260.832,4.39587
77962.9,43729.9,298.72,336.243,245.327,4.39851
121707,48684,142.134,487.538,413.647,4.40886
120031,85655.5,193939,5712.54,512.659,4.43294
87489.4,36511.7,388.739,309.544,258.145,4.44707
35376.5,48780.5,86971.6,4819.14,202.727,4.46386
89651.4,40641.7,117.753,429.523,290.607,4.51598
77547.1,49101.2,85962.9,6107.31,322.555,4.53356
56454.6,33738.7,424.165,487.295,263.449,4.53692
105055,47347.6,525.265,588.733,323.956,4.54316
56923.7,26668.1,179854,2354.96,222.106,4.54427
92565.2,41498.3,637.812,369.02,304.178,4.54604
81184.3,56877,19221.6,5118.6,366.111,4.54963
48234.3,21283.2,1200.95,223.921,154.319,4.56142
64999,40947.5,100646,6464.05,263.236,4.58255
69514.8,33568.5,458.072,431.669,147.704,4.59153
72603.1,30568.2,34158.3,527.373,210.143,4.59441
63772.3,37775.2,744.155,450.642,234.685,4.59693
43333.6,36956.9,2834.23,484.928,290.044,4.61392
45262,18179.8,18145.1,320.439,287.509,4.62438
43470.5,27796.8,19304.7,5780.39,183.292,4.62777
77293.8,37052.2,453.259,580.157,295.321,4.64511
47470.7,35099.3,700.848,562.781,217.622,4.67056
95708.7,63445,206.543,608.808,334.591,4.67236
95818.6,39546.5,254.734,119.374,329.766,4.67405
79120.9,58204.9,383.891,601.69,377.925,4.6746
89301.2,50941.6,485.3,455.161,255.951,4.69258
126720,58456.9,1742.5,537.78,395.604,4.6961
101588,61594.6,270.243,614.258,442.366,4.70046
88565.5,53293.5,123.911,252.35,258.781,4.7007
38461.4,51701.1,1444.32,8853.8,249.862,4.70813
99303.3,62765,592.119,520.322,363.397,4.70866
121008,54498,951.043,863.455,311.62,4.72554
42897,30938.3,16853.9,457.846,193.874,4.73199
79389.5,56979,150561,5856.06,351.765,4.77609
29697.4,16406.8,75.8507,216.473,86.8558,4.79285
50255.4,54519,105.768,423.57,286.804,4.79471
33772.2,25312.6,172.83,488.387,193.517,4.81971
44414.7,26679.6,1759.35,242.086,172.406,4.8656
74352.8,36360.8,1213.61,567.265,232.129,4.87279
77557,39987,1068.15,412.937,241.356,4.88278
35113.7,19047,1108.44,235.169,127.097,4.88799
75194.2,30446.3,90.5028,412.999,252.199,4.89922
36370.9,22739.8,23261.8,3174.68,201.514,4.90725
75279.1,48486.8,144.444,310.484,281.449,4.93328
78361.6,41636.5,128.649,257.981,313.934,4.93843
