"FSC-A","SSC-A","Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
85206.562500,42327.585938,10.346232,3976.169434,246.788086,382.014709,0.078411
98386.007812,55881.980469,73.341331,4680.596680,244.199219,338.470947,0.081595
44936.906250,25306.804688,-36.377316,2552.257812,25.328634,174.845963,0.082466
82778.062500,45308.476562,16.206173,4122.373535,340.037872,395.640076,0.085137
63682.085938,36728.042969,1.801491,3363.909180,90.050774,203.816269,0.085768
63747.882812,41375.429688,30.664080,2507.449463,248.447052,308.870667,0.085961
57725.273438,32679.187500,85.124718,2417.710938,55.080406,172.866608,0.086151
62900.058594,42147.527344,45.003105,3477.569580,206.035797,278.200867,0.088362
83028.000000,43469.296875,56.953945,4111.202148,235.096268,348.592499,0.088941
100010.546875,48403.367188,65.173935,3747.027100,157.273300,297.352112,0.090860
88906.554688,49154.023438,9.841408,3298.032227,249.574890,385.131836,0.094235
81500.445312,54824.011719,41.014294,3197.000977,193.328766,276.648102,0.095438
57292.453125,33976.277344,46.718498,3046.910889,173.480453,190.410461,0.095988
95747.921875,46221.992188,32.205841,4710.833008,209.909592,358.047516,0.096035
68103.515625,56028.648438,54.625740,4036.885498,195.939178,250.331802,0.097678
76217.460938,29849.923828,82.397804,2472.355469,184.820541,255.612000,0.099406
44518.078125,31936.609375,35.361923,2248.677734,118.773659,183.196701,0.100015
94528.125000,49233.292969,105.921814,4517.148926,376.255890,467.786346,0.102845
67377.179688,40943.804688,6.393571,3461.115479,265.276337,266.614502,0.104476
61455.585938,30140.916016,78.561897,2897.549805,158.417938,115.502380,0.105225
83619.078125,38103.949219,24.288940,3663.967529,199.418015,245.930084,0.105394
69211.250000,50427.167969,172.403000,6752.287109,229.375076,394.261078,0.106118
98291.539062,62822.449219,78.027245,4185.700195,133.525879,266.636780,0.110279
60981.289062,34513.980469,27.944691,2277.699951,120.670364,275.894104,0.111854
115393.484375,57356.660156,159.367004,4558.314453,140.281418,356.639374,0.114887
95204.242188,66892.726562,70.810349,4583.268555,176.032089,396.626892,0.115833
57082.378906,38456.527344,145.392654,3713.997803,280.343170,294.538330,0.116823
47123.378906,32964.269531,51.000347,1745.099243,28.641760,116.129524,0.117294
53265.558594,30312.457031,63.686054,3309.447021,156.734589,287.682526,0.119326
102877.867188,57650.453125,141.629547,4769.666504,328.133728,327.197083,0.120168
73036.273438,44905.296875,29.451502,3760.627686,144.466232,393.915833,0.120732
104523.453125,78932.093750,209.253128,7731.939941,363.839325,657.253601,0.121021
92144.648438,55870.265625,76.519348,5039.002930,141.091614,216.637558,0.125775
93173.257812,53886.964844,53.428337,4818.482422,120.467186,242.775787,0.126104
54572.335938,32236.210938,-10.691990,2418.075439,127.101379,189.262161,0.127560
71629.898438,45741.093750,74.726486,5232.383301,275.787415,355.883179,0.128799
80245.390625,48222.542969,103.577629,2790.750244,102.085335,268.085724,0.129909
68282.703125,47442.222656,52.141037,3361.177002,170.323013,277.219421,0.132428
70312.601562,39499.914062,54.991291,4201.364746,109.824402,189.406570,0.134418
57356.914062,47404.804688,91.071877,2703.744141,145.073471,242.873077,0.135432
94375.890625,64586.261719,109.717819,3215.337158,172.875961,319.459503,0.136532
61293.402344,30587.550781,40.511543,2879.213135,173.077469,171.342712,0.136971
68689.742188,34560.871094,100.903877,3907.742432,147.164642,255.198929,0.138900
66307.968750,41308.648438,103.939674,3187.711426,144.601196,137.221390,0.141413
115706.281250,65126.847656,69.896645,5910.216309,207.171463,318.204437,0.141923
43827.675781,23951.236328,-18.680103,1861.613281,143.319077,165.094437,0.143396
80669.906250,38382.210938,-31.495882,4049.453613,250.636185,267.777496,0.143992
