1/2-SBSRNA4	1
61E3.4	0
A1BG	3
A1BG-AS1	2
A1CF	0
A2LD1	1
A2M	0
A2ML1	0
A2MP1	0
A4GALT	5
A4GNT	0
AA06	0
AAA1	0
AAAS	31
AACS	21
AACSP1	0
AADAC	2
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	7
AAGAB	64
AAK1	2
AAMP	56
AANAT	0
AARS	115
AARS2	2
AARSD1	18
AASDH	1
AASDHPPT	29
AASS	0
AATF	52
AATK	0
AATK-AS1	0
ABAT	0
ABCA1	0
ABCA10	0
ABCA11P	2
ABCA12	0
ABCA13	0
ABCA17P	0
ABCA2	5
ABCA3	9
ABCA4	0
ABCA5	4
ABCA6	0
ABCA7	4
ABCA8	0
ABCA9	0
ABCB1	0
ABCB10	11
ABCB11	0
ABCB4	0
ABCB5	0
ABCB6	47
ABCB7	4
ABCB8	9
ABCB9	1
ABCC1	47
ABCC10	4
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	46
ABCC3	109
ABCC4	30
ABCC5	2
ABCC6	1
ABCC6P1	0
ABCC6P2	1
ABCC8	1
ABCC9	0
ABCD1	2
ABCD2	0
ABCD3	41
ABCD4	9
ABCE1	45
ABCF1	18
ABCF2	28
ABCF3	9
ABCG1	1
ABCG2	42
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	1
ABHD10	15
ABHD11	6
ABHD11-AS1	0
ABHD12	82
ABHD12B	0
ABHD13	6
ABHD14A	1
ABHD14A-ACY1	0
ABHD14B	15
ABHD15	9
ABHD16A	9
ABHD16B	0
ABHD2	19
ABHD3	23
ABHD4	51
ABHD5	4
ABHD6	10
ABHD8	11
ABI1	26
ABI2	27
ABI3	0
ABI3BP	0
ABL1	27
ABL2	2
ABLIM1	49
ABLIM2	0
ABLIM3	3
ABO	0
ABP1	0
ABR	27
ABRA	0
ABT1	8
ABTB1	4
ABTB2	10
ACAA1	8
ACAA2	33
ACACA	21
ACACB	4
ACAD10	8
ACAD11	0
ACAD8	5
ACAD9	23
ACADL	0
ACADM	8
ACADS	16
ACADSB	16
ACADVL	79
ACAN	0
ACAP1	1
ACAP2	3
ACAP3	3
ACAT1	32
ACAT2	79
