"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
16.7514,74.3267,62.4926,2550.55
5.48131,16.8332,-120.154,212.341
12.9381,138.584,-126.343,576.441
6.97557,490.104,39.7178,57063
23.4453,504.855,-162.84,49532
14.3764,516.079,-57.8684,20195.6
90.7916,662.03,57.9235,122141
-3.32207,555.309,-24.9099,203.052
63.2252,752.465,-17.6075,30139.4
41.4875,579.228,7.59698,100528
-7.08817,679.973,-11.2796,1809.74
38.9862,78.1038,-28.9425,280.862
40.7021,583.413,1.66923,52585.7
29.7126,494.132,100.127,471.364
114.326,533.128,73.2771,76383.4
54.0801,472.031,12.7002,125562
13.1162,366.494,-73.3736,60429
-5.8746,411.324,11.3222,12657.3
35.9559,477.126,-68.7149,270.646
46.4876,595.033,103.781,51839.2
61.3456,434.571,-76.566,74287.5
-8.91291,447.657,85.7941,15941.6
-12.209,435.574,136.171,68831.3
25.663,60.9038,-63.4062,191.006
27.9577,11.7957,-67.7627,185.563
43.8472,23.2101,-121.941,197.238
26.9196,713.099,-38.8209,30187
39.0785,603.43,-43.9139,11349.3
33.7174,331.584,27.3164,43422.8
2.2515,261.025,98.3585,6158.08
38.0327,95.573,-90.1562,551.141
61.6711,835.399,-37.4312,43479.6
-46.5526,497.165,-68.4398,58069.3
15.8415,55.2906,5.64976,235.584
24.8516,437.993,-2.67898,171.627
39.562,685.314,148.529,25087.7
28.698,599.49,-2.57465,62482.2
38.46,455.598,51.5805,43157.4
79.5153,688.255,4.64493,24863.7
16.0353,208.293,899.934,8450.92
-8.62632,458.066,-68.4275,8261.37
25.291,388.688,-38.5984,38394
-1.54982,419.676,58.3328,23548.4
36.7131,1735.49,141.997,54112.5
-39.0571,611.186,-31.2862,18306.5
50.299,419.321,-119.117,46184.5
12.4568,493.373,0.0295717,313.494
60.3792,606.739,634.256,30597.6
16.9434,47.7004,-50.8356,307.881
12.0654,30.9904,-62.9557,217.032
43.5261,32.521,6170.6,5085.57
40.4394,603.487,933.684,17750.1
83.7954,517.531,-32.4367,127420
20.1526,646.386,-66.2147,1783.12
36.4737,836.659,-38.9971,24946.3
18.3279,179.547,34.3145,920.826
73.5907,106.794,-125.164,344.225
11.2033,109.549,-122.881,270.224
98099.7,670.593,-78.8615,86583.9
-22.5194,399.929,-72.9999,14399.5
-40.8508,512.883,46.1147,73508.3
168.155,607.88,81.2288,137368
44.9045,558.766,-70.2412,92554.9
32.9358,70.0892,-23.8834,362.763
16.0601,448.186,56.2669,39723.8
-4.06944,102.534,-18.4831,1498.67
26.0207,742.084,82.4827,370.356
0.456123,585.476,18.2695,122243
10.2608,409.664,931.723,18166.4
32.8305,544.231,-74.1418,44611.2
-9.31573,582.095,-3.19905,41489.1
-5.64691,601.318,14.0772,89908.4
24.3963,85.3994,-28.1547,441.304
58.406,466.696,80.1781,64816.1
22.7305,20.9782,-43.2593,169.962
16.6852,842.24,46.9321,56886.9
19.6678,73.508,-10.7809,443.327
-30.5072,618.019,30.5503,6432.15
52.7407,1124.35,212.238,37660.2
20.1611,458.419,-72.0629,39639.7
-28.3071,230.524,-66.6158,9919.28
-32.4838,-57.3696,-102.081,110.459
-4.80877,63.6466,-97.6155,230.806
83.4062,509.336,1.549,77625.7
1282.82,453.305,-141.179,178.455
20.344,48.5295,-77.942,295.164
2.48544,42.6617,-69.465,240.994
42.2588,588.053,14.8123,21049.8
44.0154,675.112,-95.9197,29408.4
37.9795,795.012,119.736,57677.2
32.8645,1124.23,-58.4947,38250.7
31.4114,805.814,831.59,42078.6
1.69604,416.005,-53.9462,292.2
-0.177979,500.196,-52.7614,5320.22
-0.400395,421.629,-64.567,84045.7
28.1995,324.298,1094.38,24918.2
33.9228,34.817,-6.90975,563.495
51.1907,22.9551,-88.5103,239.524
14.4212,2.99663,-133.558,223.015
43.4927,94.9455,77.3389,388.795
77.1115,934.896,132.534,61569.6
12.7705,533.649,-106.25,44691.3
-21.0332,586.736,-45.8242,20089.5
8183.1,643.84,14.4711,98798.4
-18.5095,669.129,24.521,89854.5
35.0734,812.175,-21.1561,18720.3
18.0674,720.18,66.1559,78088.3
6.41954,789.732,213.456,48261.8
27.0284,426.538,-87.9857,10565.8
-35.3662,590.686,-45.3616,80034
-37.7826,495.123,-142.335,35776.3
-18.0512,-36.6661,45.5025,196.132
36.2411,759.186,0.413539,6576.2
71.4984,491.797,-18.9894,74699.8
22.6216,881.187,-9.47244,12597.7
14.3836,605.883,61.9254,1657.28
46.9056,474.55,126.598,71642.9
46.9144,598.005,-51.435,398.159
-10.4581,671.774,14.7271,7174.61
19.6269,822.617,-2.9364,37567.3
6.97316,702.177,-11.6346,21649.7
8.66833,802.394,247.455,126238
30.4576,708.718,99.4544,32335.3
39.5397,646.726,-80.0236,19076.3
37.1786,41.9601,12.4782,244.337
33.0937,116.68,-10.7894,162.628
50.911,172.554,-63.3263,903.646
31.9423,325.925,-64.5137,83716.1
-5.41096,66.5808,-76.4511,269.084
61.2169,109.236,26.7814,374.853
-46.3615,700.077,-34.4995,99849.5
-31.6468,-43.6873,-102.938,177.798
-26.6373,439.998,-70.8058,2278.25
22.2763,368.407,-145.166,50911
-9.89936,280.861,-163.594,29359.6
-19.5782,535.675,-31.9402,308.53
49.4584,623.365,-19.1264,88172.1
15.9527,105.479,-13.3533,351.024
37.1847,351.406,-29.4715,25847.6
77.0098,342.826,8630.53,2517.91
9.57471,439.408,5.64196,299.057
88.406,332.066,108.452,3757.96
-30.9726,584.215,56.6271,110016
30.727,648.536,98.7645,32111.6
32.6922,128.984,53.1229,1034.98
53.6837,949.718,26.1095,21027.5
15.5177,585.075,43.7354,8813.1
30.8988,288.023,-69.0674,5207.63
17.1746,92.0582,-14.8987,373.473
34.5752,638.46,42.5634,41089.9
30.4826,745.444,215.228,7615.99
4.60081,59.8832,-96.9268,304.09
14.1045,893.549,176.504,83201.4
-0.831861,646.386,-17.599,46102.2
37.5621,661.297,365.151,20839.4
22.6792,578.883,938.51,14855.2
-1.38142,576.072,-100.152,32632.6
31.3382,524.321,28.2622,15395.2
16.8932,13.7725,-153.261,514.273
26.6088,125.614,-43.1182,183.293
5.11358,311.025,-50.2514,192.356
13.8668,69.6427,85.1783,613.219
6.90381,153.762,-6.38853,1253.01
52.1265,1038.95,36.8783,391.196
29.128,349.367,54.7371,828.454
72.1617,596.176,67.8685,98946.3
-24.2175,722.52,66.1938,144787
-59.1865,208.724,-44.1177,74446.1
26749.3,359.554,-10.7079,29347.5
165.689,359.494,-16.723,57150.6
-4.68275,65.3051,-85.5954,285.522
28.3354,705.538,135.374,53032
-53.7499,27.8017,-173.38,159.871
-16.9139,36.22,-144.513,281.649
25.5618,64.2207,179.573,26631.8
35.664,826.818,85.9841,321.333
21.6493,761.467,-45.6672,5419.77
30.0562,43.1081,-39.1248,220.173
71.181,359.434,14.2332,41781
45.9798,67.729,-42.2895,295.05
-27.3148,608.222,-187.584,14717.8
43.7474,48.7847,2.96948,390.931
10.9691,61.3503,67.8105,302.336
28.5944,620.408,-23.2876,30086.8
18.729,615.173,-21.2402,42984.8
20.1076,557.614,-35.1912,217.976
-36.4214,476.131,8597.78,107.026
-3.21758,351.466,-48.9034,57411.1
16.9809,-3.0005,-9.35181,315.89
19.958,694.856,630.013,62256.5
32.8184,946.838,6.16735,2390.46
66.8626,440.705,41.9374,378.06
61.2214,412.865,-93.7813,9958.92
20.9032,55.2906,-124.335,281.715
7.39893,1038.17,13.6535,21321.8
2.02002,22.1898,-56.9961,390.057
