"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
13.3904,57.2679,73.4953,130.66
32.7103,169.643,26.1193,144.372
10.0035,71.1099,34.1531,117.552
65.3726,103.787,18.5401,141.377
12.4364,58.2247,39.1971,48.0209
33.4361,95.3848,-11.0951,75.9034
13.0614,144.187,137.225,185.466
28.1744,64.9223,75.1241,82.363
29.4339,140.39,-3.18901,137.171
140.376,88.2272,-105.92,76.329
140059,3305.47,-85.6253,-153.123
-12.9414,127.174,-25.539,57.8634
50.8211,71.1772,64.601,73.6414
66.423,99.023,-19.7539,120.747
43.3218,77.2856,74.2302,115.624
57.9852,112.427,31.9585,135.891
-10.0726,88.29,-4.60563,71.2369
32.5055,124.553,-68.1099,75.8409
25.5133,45.0216,13.4763,31.1551
38.6373,92.8743,2.50119,100.524
21.0357,36.6027,-58.6577,90.516
9.00354,69.7703,-105.675,46.112
41.0841,61.6054,76.7599,102.545
63.9913,70.5358,-75.3928,48.5574
21.4899,15.3028,15.9403,27.8701
94.8768,238.303,178.12,138.739
-10.3474,82.4445,-46.5981,96.0413
-4.22547,75.0823,24.831,74.3719
9.30924,61.2865,-3.06926,54.7391
27.152,56.949,-25.3862,92.5143
37.9219,109.048,-98.1166,106.98
365.959,152.395,40.1069,164.266
61.3042,98.7095,-48.8219,94.7238
30.8442,139.643,130.521,163.048
461.936,51.7825,-100.122,44.3911
-5.70456,116.618,110.137,78.3744
87.9543,106.23,-40.4702,101.266
7.65411,84.8337,-67.6894,86.5254
23.3876,140.95,34.5667,84.7808
32.277,72.5632,-103.725,113.397
10.4633,45.9783,-38.5657,90.7942
154.407,124.553,6.68792,112.61
11.9865,55.3544,-69.6457,49.3356
36.7656,152.022,19.1497,125.897
12.3282,63.7742,-21.6551,84.3815
40.0555,124.74,127.9,125.535
23.453,100.904,-21.0383,65.341
24.4079,56.6939,-119.131,68.7863
28.0324,44.9578,-95.4711,85.9742
52.5855,92.4349,-8.63192,90.6354
47.7787,95.1965,7.19293,76.909
19.9684,88.3528,-19.3985,99.5676
37.8512,142.631,-51.5857,151.35
80.4475,108.985,108.056,139.516
33.9358,58.9264,-50.2647,69.0648
21.4325,124.99,54.8553,101.188
20.0652,25.761,-67.6071,64.4671
53.0788,57.4593,-76.6682,54.0875
54.9755,45.6594,49.8498,44.2024
50.1861,123.554,-26.5163,119.845
13.2843,72.5002,60.8306,93.7678
23982.1,1205.96,29.7788,92.5694
677.394,173.73,189.531,202.764
12.8683,49.8052,-119.323,42.6333
51.2349,121.867,133.199,131.139
166.823,106.543,-13.5852,70.6891
8706.46,161.15,69.1035,87.231
31.8139,81.3753,-130.574,37.0474
31.5231,68.5583,43.9862,69.3578
33.4628,81.9414,25.4151,72.9344
17.1239,109.924,-16.4351,99.1798
39.6003,98.8349,-10.0665,121.341
112.283,95.8868,-82.7758,82.3874
62.1702,16.4506,-67.354,28.5517
27.3216,25.4421,27.9214,73.6678
14.8246,46.361,-65.6242,56.4954
160.061,199.796,32.7977,144.763
37.3724,92.8743,-46.9869,101.076
53.6949,90.1116,-65.0981,113.45
62.1713,121.243,0.30694,112.577
20.8956,69.0048,16.393,69.5703
64.4356,125.302,107.775,161.4
81089.6,58.4799,-48.1099,44.7548
19.2206,67.0912,44.6339,67.0275
43.1688,144.436,15.5015,102.191
398.816,25.0595,-25.5949,48.0085
29.9826,114.054,-52.0338,76.2038
31.437,68.1118,77.0454,115.436
42.9996,60.0107,-5.85368,90.5664
53.0497,77.915,-37.046,112.098
23.9251,47.4452,-60.0975,43.3153
59.6921,98.5841,-82.5337,74.0626
236.927,81.1238,-113.463,75.7895
16.7004,83.4506,155.553,164.492
18.4399,53.4409,-117.77,50.326
68.1723,70.9185,-104.812,70.4821
65.0563,127.299,134.325,98.4365
65.0714,72.0592,-63.7278,90.7521
72.342,77.6632,-21.1756,81.2362
18.2869,64.2207,-107.185,79.5017
34.6228,110.362,247.625,150.968
46.1943,73.0041,-136.881,112.96
31.4355,108.923,10.3427,91.2597
52.6222,79.2994,140.475,98.7275
29.4326,51.0809,-49.9893,52.113
24.7543,82.4445,-62.8563,48.5559
40.6517,103.286,33.2973,83.6382
283.242,98.4586,31.1473,78.1923
3.28619,91.5559,53.4831,139.853
42.7558,71.4292,37.0898,111.56
36.7993,73.0671,-92.3818,73.4634
16.3681,583.528,-50.8898,61.4553
26.358,94.82,-39.5942,71.189
28.484,71.3662,9.83491,96.6534
27.0422,105.353,116.734,165.563
19.4093,88.9182,-28.0999,33.8899
25.3531,32.6486,-26.7332,79.3841
37.0376,38.1971,-76.9405,89.5873
58.9051,108.171,10.3104,112.803
28.7163,100.34,124.636,137.784
