"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
57.0669,156.37,49.3156,91.8287
17.0876,86.8449,54.6754,60.6218
309.583,164.437,-38.233,89.3127
53.8993,156.867,17.6956,127.265
48.3535,84.5194,-17.2055,110.436
48.0035,77.8521,48.8342,94.5449
84.1169,144.747,-30.7386,144.822
117.628,130.481,98.2465,112.935
0.728225,54.589,-37.8341,52.9352
20.5314,108.234,46.0612,67.4326
15.9581,88.5413,-106.009,70.5024
0.768345,127.486,6.44185,91.0662
44.1773,120.93,78.1464,105.783
29.0779,42.7892,-108.844,79.358
41.4232,96.3259,-46.4313,131.816
26.0972,60.7124,37.4463,94.0862
28.0939,93.9414,95.2437,66.9654
9.40477,131.978,38.3827,86.7174
18.4522,94.6318,-6.85501,42.8704
18.4064,117.556,25.8266,84.4751
47.5743,140.141,91.5786,111.798
15.1508,56.1198,-62.2328,105.443
3.0612,70.7909,-25.7532,55.3351
12.9188,83.8278,56.1185,79.6075
23.6598,88.9182,-105.637,72.7959
15.1219,120.493,-29.2549,96.475
31.4253,99.2739,-56.9999,80.2277
19.1826,42.9168,-39.6889,89.5081
479.15,209.155,11.7713,64.8436
-12.8601,23.2101,-77.4072,60.2792
25.2676,122.492,-1.19271,76.7201
25.5402,85.148,-48.4588,76.8562
60.2408,85.8394,-17.5757,110.488
12.9392,98.7095,-44.9506,95.6063
18.2986,164.933,62.9965,151.217
42.1915,97.5178,67.3769,113.395
19.317,144.249,-40.6337,105.006
4.35817,129.545,-108.504,105.926
26.2516,68.2393,17.7371,70.8446
26.3738,140.639,-26.415,118.115
42.2896,129.109,66.7543,175.535
23.3191,54.1425,27.9456,61.959
-4.79418,84.5822,-5.6248,57.3922
-0.174195,42.6617,-19.28,104.531
31.032,71.0461,-24.9942,81.3209
19.3414,63.7104,38.6837,65.784
72.4695,145.431,-57.9021,145.038
40.5139,100.716,91.7971,171.988
28.9523,91.8699,86.364,105.482
15.2732,118.243,-42.7642,49.2436
31.7428,95.322,-14.9709,69.2872
95.0215,75.523,24.5882,104.748
33.6768,78.4184,13.1574,67.4096
11.9125,65.0499,-49.7709,51.4762
31.8998,86.0279,63.1515,94.4536
12.0859,75.3341,-42.5647,86.971
7.85576,75.7119,-37.2847,76.2896
17.0092,41.0034,-29.7643,63.2458
32.2415,76.3414,47.9202,74.738
21.9241,60.5848,-53.3592,83.0881
39.8606,114.304,-60.7338,80.2368
33.3411,67.3463,7.68856,92.539
24.0789,94.82,59.1817,111.42
26.2461,60.2659,178.078,114.049
20.9196,54.0149,-28.1445,54.7269
17.6561,77.7262,-17.38,76.5662
13.3239,58.9264,-65.725,83.2845
33.8614,88.7297,-38.3256,95.5959
21.8918,114.554,85.4463,92.7552
128.717,293.359,10.8946,68.3323
21.8273,94.5063,-21.4494,69.4947
21.5971,56.8214,-30.5997,76.8148
10.2825,99.2739,99.0277,92.6324
6.04216,70.9882,-19.9041,64.8415
5.03851,23.5928,-65.9801,30.3321
46.9453,50.2517,0.693039,78.2104
44.9702,108.735,76.9656,96.8099
34.262,98.5841,16.4312,69.3386
44.3101,121.118,-8.61823,91.0335
6.5275,118.181,-52.8196,59.5911
27.9403,80.6205,-19.2091,126.635
25.9246,122.055,-76.8426,88.9164
28.8458,68.3031,96.284,105.143
32.6602,94.82,44.4293,89.0735
32.9916,21.297,5.32911,76.6033
16.5105,29.6512,-7.44033,51.7202
27.9278,67.0274,71.1766,85.4301
36.8817,129.421,40.9662,82.5746
32.8613,49.4863,53.5148,97.1666
16.9841,100.653,-81.783,47.7819
7.7609,64.5396,13.1906,56.4068
50.2074,130.294,-98.4531,123.569
19.2887,111.176,-92.8269,77.7221
22.8158,144.871,27.4317,81.3784
6.59991,43.5546,0.970032,75.8841
9.54789,78.6701,-15.8056,76.8991
27.0415,40.9396,7.21225,86.5259
36.9559,61.8606,91.3197,92.5818
21.1229,99.462,-88.4013,86.9077
11.5832,99.9009,49.6661,51.5476
13.6295,111.614,85.0869,134.512
14.6948,66.3895,-13.3977,77.0012
49.8074,142.507,11.9803,101.057
27.8557,66.3895,-22.9775,75.183
59.8694,174.349,139.169,188.021
23.4086,53.7598,91.2018,100.699
20.7898,113.679,46.2688,69.1568
19.6465,80.0544,-66.2271,74.481
61.4457,89.5463,41.2551,145.116
44.2184,23.1464,7.39116,70.7879
59.479,41.0672,38.6702,67.298
32.0514,61.0951,102.837,108.039
10.5395,74.1377,-39.0678,88.4115
14.3763,32.8399,-64.0615,45.4531
18.5546,183.071,13990.3,80.1815
23.7251,78.3555,-2.3443,102.055
32.5631,81.9414,37.637,148.555
30.4939,88.7926,5.80196,49.8274
38.8832,202.26,-42.5332,79.2894
10.6143,54.3976,-21.8629,55.7655
4.36319,82.0672,4.82466,81.0305
24.8517,68.8134,19.3046,74.2374
33.1331,88.6669,21.8932,158.253
24.7802,95.6358,-21.1284,82.1824
31.038,93.4393,45.7237,92.8273
15.5822,75.2712,-74.42,69.6765
24.7999,93.502,10.9974,61.7415
260.774,142.444,56.0692,75.9636
28.0852,67.3463,46.0714,67.932
-2.16506,51.2722,-35.8141,74.4956
37.1259,80.6205,-72.4837,61.5171
39.3671,87.913,21.6177,68.1292
40.0217,65.1137,73.1022,111.037
21.5058,43.4908,32.7349,111.302
-5.19343,21.1695,-47.6642,50.2153
32.7675,83.0733,2.47501,162.361
2.54517,123.679,12676.3,118.756
27.3763,97.2669,9.78959,98.0206
13.9261,53.696,-46.8222,71.138
66.0255,167.908,67.6524,140.899
28.5908,130.793,121.943,206.504
12.2444,72.9411,-29.6636,69.3547
33.0798,104.163,36.0787,97.233
13.5346,106.543,30.1892,132.89
18.7451,121.805,-61.1205,101.614
27.7845,103.474,5.69109,137.858
20.8611,77.0968,-34.1797,55.1415
43.6175,126.987,-39.6206,64.5094
24.27,89.0438,37.1498,114.537
34.8991,57.7782,18.7189,95.9286
19.5908,97.016,-66.5057,92.8394
40.1914,82.3816,78.2613,86.0934
30.4722,77.4115,44.7062,100.921
48.6443,147.484,96.3363,114.638
-7.89135,76.5932,96.6108,109.473
34.8414,118.743,3.91417,59.7381
33.2221,181.896,6454.2,117.931
51.9916,37.6869,2.03689,77.4932
59.4433,139.144,26.4111,181.253
5.72609,87.3476,-75.6878,69.5384
18.1667,105.103,108.832,92.8493
35.9733,62.7536,20.1262,98.3003
36.2041,107.671,7.46348,84.8273
31.6507,110.613,-50.2572,85.6084
44.8431,53.2495,-35.3194,56.1472
11.8429,100.34,57.4366,101.799
46.9791,59.0539,-14.2736,56.2013
13.0361,65.0499,-71.4451,72.6631
15.7642,84.8337,9.38415,104.216
15.0514,93.3137,3.15777,110.397
26.8337,59.1815,-152.055,42.6736
278.024,161.956,107.592,100.547
13.2301,56.949,78.7988,57.197
54.2177,188.569,118.834,134.498
52.9514,128.298,74.9227,177.809
