"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
50.2127,559.457,147.929,10815.8
46.5165,88.4785,15.6972,247.591
224.613,125.239,-17.441,364.024
12.8958,321.706,4.10356,276.886
73.3709,1054.68,124.532,59465.5
-4.20525,637.894,-93.5042,13608.4
-2.03532,1058.04,219.987,92169.9
60.1612,610.502,402.412,53363.6
55.048,586.22,67.2781,38893.5
7.21814,59.1177,-84.3009,189.729
49.3729,632.167,166.566,277.159
90.6644,753.366,-42.9916,50109.8
197.27,727.741,-115.81,8676.34
68.5491,42.4066,9.67401,184.676
33.5452,119.993,193.604,465.459
146.683,1253.91,96.2078,2143.69
24.3052,20.9782,336.666,1540.82
274.882,76.1526,-15.7678,21611.1
3700.3,151.773,77.913,295.419
21.012,53.3133,104.722,227.031
10.0342,327.491,-3.71373,72544.3
319.442,538.914,109.948,26106.8
59.0971,821.537,126.757,53481.9
186.385,1291,107.912,135159
48.0873,45.1491,15.588,340.877
33.1,167.288,126.989,393.208
56.0339,554.041,1925.12,47484.2
18.8056,93.9414,-13.6452,265.277
4059.71,428.842,-14.6155,39167.3
43337.9,427.188,6019.75,52494.3
11.0455,467.048,-50.6848,11509.5
-30.5672,613.578,-84.8654,6870.9
16968.5,580.833,44.5472,25401.5
92.3214,595.776,-8.73937,28936
9.14548,707.158,4957.47,32488.1
27.596,548.734,9220.94,390.073
84655.5,542.209,12591.8,209.504
138.965,899.43,270.663,63813.5
44.7209,90.8652,-17.1086,349.714
70.743,1043.63,25.7076,40309.8
64.9589,29.141,102.582,193.343
47.5259,564.407,30.7586,27164
241.142,1641.81,92.2344,46711.1
61.0251,170.82,-20.8936,37087.3
-0.534312,258.525,173.478,1124.13
1.55333,291.055,-202.333,14677.9
55.3271,485.022,33.2696,67483.2
127149,493.49,1991.42,13122.1
170.981,167.103,154.538,426.199
62.586,865.824,54.6328,25765.8
3.72286,40.4294,117.609,340.796
14.0139,643.953,-67.9121,21964.9
42.5657,772.509,51.4186,34916.8
56827,737.823,66.861,30727.7
21.1267,766.088,189.833,354.248
8958.41,274.601,41.8222,20298
118.678,115.492,2264.55,358.777
33.7603,119.931,40.6166,508.511
18.079,514.684,64.8422,166916
2.26294,863.364,104.044,69101.5
21.92,623.251,5.9649,235.674
55056.8,542.613,63.1686,100472
7.98176,163.569,66.8366,999.361
5.56768,361.051,-7.9891,21811.7
16.1797,747.605,28.253,14922.2
5.7486,525.886,6.8808,81232.2
226.93,125.552,-10.6317,431.983
104.326,613.123,99.9368,85053.4
1576.38,994.126,113.23,42400.3
437.547,153.265,11.0447,502.892
30.7724,845.421,107.708,10036.9
0.538987,-42.6671,-197.149,183.476
-10.5549,-35.826,-73.577,353.883
27260.1,264.803,101.527,25623.7
76.2921,72.1852,10272.5,343.684
43.4797,437.993,978.8,463.279
90.5746,656.445,115.153,5698.51
19.7108,57.0128,-0.848979,286.406
35.9682,539.203,-3.30669,35435.1
42.7938,48.5933,-76.213,229.076
27.9532,149.225,26.7724,459.933
46.5468,139.767,163.57,335.529
20.6354,606.625,-6.40715,20844.2
-17.4283,601.26,20.5221,70281.6
2.69918,545.04,22.6853,30232
99.2297,1013.45,164.661,15520.5
32.0933,349.127,56.6665,34364.8
28.9319,375.872,-1.48582,174.688
159.359,931.055,-24.6436,35657.5
36.5444,129.857,26.8328,436.53
52.5769,128.11,146.266,347.245
32.0282,429.197,-72.7713,23427.8
-2.45217,30.4802,-23.5388,215.199
24.1005,508.871,116.872,72750.9
78.1506,80.8721,174.241,514.478
2971.74,464.115,197.147,38326.2
