"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
19.7495,91.4303,-6.08525,56.9442
16.0561,73.5709,43.141,47.4433
19.085,84.3308,-73.0539,69.9282
2.93109,33.1588,-74.5851,51.5391
15.952,81.3124,14.9082,77.2682
15.5134,107.044,37.5058,107.748
42.5038,92.8116,93.0078,84.7832
20.1668,56.5663,-67.7836,71.4395
41.851,45.0216,81.877,90.3703
47.6987,75.7119,40.2538,55.3678
31.3869,63.7104,73.4142,35.8078
18.0054,71.1737,-160.85,43.8399
19.32,87.4104,-47.1114,49.9056
47.1425,105.04,56.2647,123.252
20.2725,103.599,-39.5692,90.113
26.4145,91.5559,-43.0849,89.2533
22.2055,72.5632,17.6269,51.8184
-1.61485,56.4387,45.81,70.6254
36.0036,112.49,155.36,88.8459
34.5362,108.672,37.9434,99.7375
37.66,81.1866,15.6071,56.9569
20.9231,78.7331,-24.7196,103.026
32.8727,74.8934,-16.9412,71.5577
42.9821,80.5576,148.355,122.943
13.8143,74.1377,-114.12,47.0448
26.6474,122.242,-68.7042,93.8103
24.4769,143.689,27.1466,97.6331
62.9219,124.116,168.669,89.27
41.4296,92.8743,247.392,76.3307
14.1041,79.1735,-63.6983,81.7801
-9.0043,73.8229,-55.3232,32.7083
10.6395,102.91,-68.8923,34.7106
42.7394,101.594,109.525,113.391
49.8852,132.227,42.8388,177.63
72.8552,110.926,133.508,156.157
34.0225,94.0669,-84.1844,77.6872
2.37034,42.4703,-65.2396,46.9178
36.1437,103.85,50.0857,115.878
27.93,130.294,178.793,133.871
57.3229,147.733,83.5668,160.776
26.0767,113.866,36.2583,72.0195
23.5387,78.0409,-50.0759,92.3355
43.9043,160.157,-1.41176,117.857
34.6384,153.327,37.8811,124.896
4.98251,48.8485,-24.8902,30.4705
78.7986,96.3887,165.945,131.081
8.15943,56.056,34.6781,30.3793
10.0231,40.8759,-3.78071,60.6022
40.5788,76.2155,97.758,91.74
50.4663,86.5307,53.8855,113.066
26.4782,74.4526,18.8469,106.517
34.9779,50.7619,-101.719,81.0888
23.3303,102.032,68.5217,97.2333
9.57934,72.1222,43.3998,55.1514
26.2083,74.8304,-21.146,87.8253
62.2865,102.032,16.3581,93.7648
26.6211,97.4551,-97.8369,84.5539
6.20416,51.7825,5.64375,95.5175
45.8138,61.5416,39.7291,63.9417
34.092,93.7531,-27.993,112.57
59.1982,53.4409,76.3712,61.984
45.6037,140.203,161.906,123.804
51.7018,102.596,78.6823,127.957
56.9601,111.864,46.6557,140.22
6.98255,69.1324,-6.70678,69.8748
47.3308,110.988,192.658,144.945
14.5633,84.7708,85.5656,85.5237
36.4681,120.743,3.99504,98.0929
48.5694,147.422,217.385,116.875
18.6966,85.6508,39.1823,70.4832
11.0109,86.782,-0.302074,66.4636
27.9028,130.855,66.6143,112.546
1.53464,11.2219,-15.3447,-6.24613
58.8122,133.163,9.97247,104.865
50.3595,55.482,-50.6453,57.9726
29.558,48.976,-67.7342,68.6121
5.65315,75.1452,-12.0076,59.3901
34.3519,126.55,93.0264,114.128
3.04007,89.7976,54.1171,57.6825
22.9802,137.338,91.4496,123.963
8.21553,93.502,13.4087,36.3152
26.4715,82.7589,-60.3982,107.264
28.4354,140.328,-15.9798,47.2876
23.4459,26.2074,2.48816,47.8748
37.1623,116.493,72.6956,154.858
27.932,64.6034,0.128904,97.1331
7.95537,68.7497,-97.3079,34.7984
26.2364,98.3332,-65.5548,96.873
18.4739,113.866,18.3769,76.9747
0.765336,108.672,85.7881,140.074
8.82496,68.4945,-122.052,47.701
16.5245,92.686,-39.1554,68.4272
17.2245,67.6015,9.03057,57.5832
38.0678,97.3924,-26.2942,84.6781
30.9824,67.729,26.9951,44.2323
40.1237,106.919,-31.09,87.5237
19.9669,93.3137,85.6063,69.3006
8.82954,79.4881,46.0839,89.7848
-7.53761,80.7463,-23.1145,47.2632
-11.8182,37.1129,-104.97,76.2202
54.5171,112.052,71.8583,89.0566
5.70142,60.2659,-52.073,114.871
17.9744,60.84,-42.9094,108.138
62.1904,184.307,236.268,200.588
28.025,110.613,84.43,117.222
73.1755,145.867,-17.7904,162.549
21.8056,117.618,46.9232,102.34
20.8399,114.054,27.187,87.931
8.62249,37.4318,-9.64872,33.6893
12.455,36.3476,-90.4929,3.36325
4.36058,66.0705,15.309,56.9829
23.4984,93.1882,-14.0308,60.3008
33.6028,110.049,-13.9554,93.8976
6.02522,15.6854,-75.9222,54.555
21.6584,83.5763,2.74447,88.2656
27.4375,84.708,88.1092,91.2197
15.4196,79.4881,34.8712,57.3197
26.6538,63.3914,28.1231,99.1811
26.3683,64.0293,-117.821,51.7892
33.1021,70.9185,-10.904,100.835
20.359,104.163,58.182,123.101
22.5103,73.319,-22.75,127.485
40.648,88.0387,55.3812,84.047
16.6916,111.239,0.583795,92.4515
47.2872,150.033,84.9784,168.043
12.1237,37.6869,-1.19829,70.5983
19.6752,60.2021,79.0969,95.6272
42.4264,91.7443,74.1909,99.4784
52.3191,75.7748,-79.4424,47.1894
44.9932,130.668,-43.2427,136.86
32.6767,145.369,83.8747,123.759
17.8106,70.9882,40.0053,95.9122
14.194,49.8052,25.3233,83.9597
92.8552,197.268,410.181,196.159
17.8663,43.0444,-92.5714,28.8618
18.3625,96.1377,66.994,77.1831
56.6963,109.987,-68.0606,90.4025
43.4302,73.8229,60.885,97.5005
25.3209,86.2164,35.9003,89.0568
14.2216,131.417,162.128,129.572
17.4579,62.8811,-37.3149,55.9937
34.5078,90.9908,-18.1787,151.575
35.929,161.087,-2.12259,109.302
43.562,158.543,229.602,210.673
24.6815,143.876,172.535,111.415
9.57634,95.0083,-20.07,98.0773
21.0649,101.97,-8.01285,69.0168
22.6365,115.492,-9.0575,76.9486
15.689,97.3924,-2.60216,118.664
25.4761,85.6508,55.6095,120.492
48.9166,155.066,117.412,151.339
41.9742,68.3031,-75.4481,70.5965
17.9996,115.993,251.009,123.591
28.7827,60.4572,37.831,87.8073
15.5871,82.5703,-4.80374,63.0487
-4.33949,80.6205,-153.586,29.7765
11.8311,69.6427,28.2993,66.596
7.1806,40.3656,-48.0515,35.7012
9.4524,98.7095,-40.1277,57.0853
42.146,88.981,120.868,197.585
3.95309,82.8218,-6.18774,90.0912
40.9619,65.4964,-34.606,97.8576
15.1936,82.9476,-28.3553,88.5151
-6.25778,71.9332,21.2479,48.2208
37.4881,113.866,99.3184,124.741
28.8633,129.421,-7.20209,66.6839
28.524,60.7762,65.6822,122.638
13.1238,67.9842,13.485,69.0033
39.2989,95.5103,36.8265,87.8698
48.7953,94.4435,78.3738,116.128
22.462,100.402,41.3851,108.514
9.32253,75.7119,32.7781,71.5154
1.51343,65.8154,-19.9746,44.7838
4.83961,10.5842,-49.4165,46.3482
25.0586,49.9965,-123.832,45.1712
11.9194,35.3272,2.95627,56.7919
30.8383,130.918,92.7477,84.5925
13.5463,112.678,83.0275,64.6509
2.96713,106.543,-43.1624,47.5349
11.2691,60.7762,-57.2634,62.1124
12.1119,38.0696,-54.2496,71.9101
23.6335,48.5295,-54.0971,63.5447
16.1637,64.9223,42.8728,114.594
11.9599,79.2994,0.415204,58.3795
10.1903,38.9625,-1.34782,78.5358
28.4597,15.6854,-70.7869,50.67
43.0442,135.656,101.374,122.13
14.8171,125.801,87.6875,112.095
2.69908,68.6221,19.1726,59.0656
50.7649,166.111,39.5934,128.573
44.3098,84.5194,101.296,84.9749
30.3333,87.9759,-23.2608,92.0159
8.26754,93.8786,-73.0574,60.9597
44.4848,108.297,73.2456,71.6145
14.1377,80.8092,-12.5544,71.965
35.8075,93.8159,-14.3526,80.197
37.2747,109.924,34.5653,111.938
8.55365,68.7497,16.9897,83.931
41.2355,102.784,68.6732,91.8035
28.5029,49.8052,-87.6749,70.2075
24.9871,127.237,22.9789,83.5435
56.9283,175.216,69.0274,88.9717
13.6626,124.553,-98.2201,112.578
19.3619,64.2845,54.2202,63.5055
0.49662,95.0083,30.8195,151.678
23.977,55.6095,79.6982,61.8853
7.01354,44.1286,22.2917,60.3472
16.7886,128.422,-12.762,87.7551
15.3867,96.5769,34.9354,67.0544
12.4365,50.8895,-44.072,11.5068
24.129,62.4984,22.5587,69.3405
29.9363,76.4673,-15.1837,63.0863
66.6898,192.889,82.0927,187.169
31.3138,112.615,105.418,104.786
12.1567,85.9022,-26.4053,73.0145
28.2556,22.4449,24.9858,122.03
50.4061,123.991,-25.9386,83.2293
27.5672,88.5413,-42.3476,58.5464
7.27885,46.2972,-59.5481,30.8686
26.5693,100.904,15.74,96.3948
25.3129,118.556,98.0099,102.112
52.5961,129.857,65.3655,119.896
25.1252,38.5798,34.8981,43.8591
-10.6622,51.8463,-22.7781,10.7713
38.6678,86.2793,-5.68187,54.5336
23.4351,91.242,-65.9883,73.4188
49.1908,117.993,288.493,126.96
17.4405,71.6812,-14.5002,57.9269
13.4694,124.241,-71.7555,91.4535
31.2198,112.49,-45.1562,96.9741
4.78323,62.8811,-8.92449,64.7812
41.4726,90.4256,106.123,77.635
17.17,56.2474,111.423,81.8949
35.4258,87.5989,58.3439,92.1843
-9.6148,66.0705,3.37978,49.0036
41.03,162.204,100.12,132.901
42.7382,64.7948,34.6296,46.5662
47.2113,138.21,3.08332,60.8252
4.89743,57.0128,5.23509,125.105
-1.43758,66.5808,-12.9489,91.0135
29.6978,71.8702,-68.9485,107.852
23.4904,71.1099,44.195,67.2738
31.3931,59.2453,-33.899,4.6799
34.0213,61.2865,62.9383,77.8235
29.0978,112.553,25.2741,58.8808
27.0333,84.8965,54.9165,69.1821
46.9884,103.599,-25.6488,79.5053
61.152,109.987,-3.02113,87.5807
12.8894,71.9962,124.158,107.223
45.3404,104.727,-55.4665,110.457
17.1954,40.3656,-65.4086,72.9792
11.1287,98.0823,121.166,114.223
27.7552,92.4349,87.5563,104.608
18.0205,68.8772,-16.5196,54.3329
35.7031,52.4841,-66.2181,37.0201
32.6869,84.708,10.9032,55.68
17.8179,65.2413,44.2499,95.0962
26.9338,121.43,97.962,147.178
68.5072,116.993,145.887,123.306
41.3626,82.0672,16.5492,53.3411
57.8131,88.7297,33.702,39.3504
28.3907,92.4349,25.1056,88.763
12.695,41.131,-45.4118,67.9707
43.1691,99.7128,126.979,96.0747
19.8666,45.0216,-21.7591,80.4449
4.56666,55.4182,-12.0139,64.5066
8.31049,105.291,70.4239,123.118
62.2238,114.367,-50.9617,94.7174
-1.66266,74.0748,-101.532,70.2115
17.8091,71.8072,4.47435,71.7322
18.6685,85.3365,81.1298,97.9457
19.1662,106.293,132.459,140.012
38.2548,117.056,125.399,82.1562
28.6956,127.237,-13.843,134.001
44.2457,116.305,-2.97981,128.618
48.7337,53.5046,-9.64098,74.2774
15.2769,91.1792,141.242,127.942
32.6025,151.649,265.693,138.095
16.5616,109.111,98.7572,143.406
13.754,89.7348,13.5559,47.6665
-2.47362,81.8785,31.2981,62.968
15.6076,82.9476,-4.68903,85.1077
29.8112,98.3332,5.97153,101.333
34.5252,64.4758,-33.5576,64.435
38.1729,65.5602,63.8032,79.0898
15.3472,44.1286,-64.7573,47.1031
26.3512,117.181,11.2072,90.2066
4.3146,35.5823,45.0574,62.092
6.54233,55.9922,-37.4076,51.859
17.4716,65.4327,28.8965,60.5501
45.9058,152.519,69.2125,145.022
17.8256,105.98,1.27135,88.1563
21.1107,57.2679,-22.3759,51.757
19.6998,46.4247,-59.2728,62.4676
38.6788,53.4409,45.585,114.165
44.2009,109.361,44.4545,66.6456
91.8693,96.3887,79.728,96.6176
10.7167,80.1802,102.185,86.9806
11.5933,87.4732,-76.5019,105.196
21.2627,30.0338,110.291,89.6297
19.5466,74.2637,34.6253,79.4929
14.7724,80.0544,-17.9382,80.5487
9.12157,64.9223,-6.38594,75.5903
18.8942,103.035,-6.43821,78.9521
34.3399,63.1363,-67.0543,36.3394
15.3086,106.355,-6.67858,87.9016
33.7642,68.5583,-25.6397,82.0513
47.6267,41.3223,-17.1485,32.9331
37.9697,127.736,144.838,162.527
72.3825,78.6701,-20.2856,76.7368
