"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
1.38547,356.44,49.5005,26641.4
8.76893,82.9476,-63.9368,3674.86
18.2447,578.138,76.5314,39672.5
-20.4753,412.687,-117.235,46299.8
-72.4834,621.716,-16.7711,83476.7
7.15952,450.482,-35.1365,16526.5
21.7351,151.09,-77.0293,29846.2
10.4392,86.5935,-66.9091,233.427
33.8107,493.49,-29.0327,47326.8
24.7531,1323.64,1797.93,13839.7
23.5505,84.8337,-32.4289,3085.44
40.5993,101.406,-1.11976,375.517
26.3432,376.887,2636.2,158.032
32.2787,389.82,-100.651,5772.97
50.1036,121.43,-46.2151,43424.6
-6.11549,415.176,71.1889,32137.1
35.9934,59.1815,-103.391,272.562
65.1583,56.949,1089.66,20244.8
34.5189,617.108,-19.046,20257.8
27.5419,1352.69,110.04,31701.3
25.2225,1678,-41.3529,10998.1
12.6683,647.292,9.98519,26470.4
37.3175,83.262,-24.3502,289.776
29.536,4057.16,53.0673,22527.3
88.3777,467.048,-42.0758,22705.2
13.1273,105.479,136.193,238.993
-50.2894,608.45,144.306,129748
-22.551,754.026,-83.4418,11194.4
75.6524,969.642,-20.2691,42556.2
-12.9217,954.999,9.32994,45359.7
2.82148,912.992,1.43924,11708.9
37.9294,78.9848,51.6554,331.337
-27.1169,364.939,-87.782,65201.5
-15.0801,1123.03,-10.0676,55517.6
20.3055,101.844,-60.6067,214.239
1.03051,949.538,86.7494,43024.2
55.3964,672.472,126.192,162151
21.6637,223.717,1686.99,1700.42
82.9837,1136.65,191.714,69203.3
50.1937,414.524,28.27,63615.6
39.7612,524.958,9.73541,45985.9
63.142,367.57,36.1377,54795.1
-24.1967,641.632,41.6018,27881.7
-54.6949,412.806,-116.171,44455.8
-1.24643,154.818,2.19611,235.836
53.2435,654.243,-51.2903,34673.5
35.9931,988.245,68.97,28198.9
45.2117,588.625,-5.7114,135939
26.2464,117.681,-39.4644,594.802
6.5811,542.267,-89.42,126.649
55.6472,136.279,-8.0752,456.538
-20.7155,512.941,-6.80425,57284.3
32.1762,86.405,-44.3187,276.751
12.9772,815.836,39.2141,21625
47.5286,875.426,155.891,23527.5
8.23036,1096.74,151.412,61796.7
60.1827,448.716,-81.9813,40576.8
66.9591,439.762,-2.01614,19494.5
62.1011,637.78,208.591,24195.5
38.6718,190.483,109.245,474.047
8.24573,951.279,18.6158,29776.8
48.0054,685.014,31.4233,289.108
44.1587,103.724,192.842,807.824
37.7917,135.095,-71.2868,57557.8
14.4638,84.205,2.31272,2622.14
-3.14627,302.683,7.71765,34282.8
44.1226,1058.22,173.742,276.205
2.90389,699.056,-46.2256,39967.7
35.6691,459.3,-102.888,38473.4
14.0989,1127.53,113.023,19254.3
63.0508,998.686,151.148,32120.4
20.541,661.466,-48.7572,42324.8
