strain,PA,IFNB1,replicate
HA150475,2202.731565,0.258604199,1
HA150475,1746.040415,0.295067914,2
HA150475,2116.43369,0.374114893,3
HA150475,2019.80458,0.367288318,4
HA475150,1881.17359,0.153274487,1
HA475150,1900.646445,0.154978353,2
HA475150,1306.278955,0.11656467,3
HA475150,2218.585615,0.189997914,4
PB1445350,16.91229,0.018710605,1
PB1445350,13.73705,0.016515907,2
PB1445350,4.46915,0.016630784,3
PB1445350,4,0.012259127,4
