strain,replicate,HA,PB1
wild-type,1,34.75,31.79
wild-type,2,35.05,32.43
wild-type,3,34.59,32.58
PB1 ∆385-2163,1,28.9,25.81
PB1 ∆385-2163,2,32.1,29.7
PB1 ∆385-2163,3,33.1,30.51
PB1 ∆351-1896,1,32.8,29.865
PB1 ∆351-1896,2,28.5,25.595
PB1 ∆351-1896,3,31.45,29.065
