"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
91193.6,80149.9,1030.44,1.97241
73502.4,49358.2,47.12,1.97344
95977.6,65749.8,74.4,1.9755
82818.4,61278.3,11757.7,1.97653
68755.2,73687,73.16,1.97756
110497,101737,71.92,1.97962
81710.4,87019.5,119.04,1.98064
69977.6,69571.4,71.92,1.98167
92812.8,91335.9,110.36,1.9827
72304.8,62021.1,63.24,1.98373
80286.4,76397.6,230.64,1.98373
97341.6,71049.5,13.64,1.98682
103378,125365,102.92,1.98785
67012.8,34584.8,190.96,1.98888
92352.8,65291,375.72,1.9899
84451.2,51298.8,37.2,1.99402
109302,92362.6,130.2,1.99402
84655.2,90145.5,3.72,1.99608
97624,100216,107.88,1.99711
94949.6,91714.1,117.8,1.99916
82255.2,68651.4,772.52,2.00122
98030.4,80016,86.8,2.00225
75232.8,65686.5,65.72,2.01048
66551.2,70935.4,178.56,2.04855
76640.8,64897.9,60.76,2.04958
86650.4,92339.1,94.24,2.05061
75936,104567,110.36,2.0537
86543.2,59151.7,50.84,2.05473
89207.2,69516.9,90.52,2.05575
97231.2,83799.2,125.24,2.05678
88875.2,79634,104.16,2.05987
72984.8,49690.5,6.2,2.0609
83661.6,69789.7,57.04,2.06193
61151.2,49355.7,9.92,2.06193
93685.6,97901.7,58.28,2.06399
91146.4,88363.6,86.8,2.06399
101679,100925,241.8,2.06501
110586,99407.1,119.04,2.06604
115656,96934.5,110930,2.06707
90537.6,113516,39.68,2.0681
78590.4,80085.4,84.32,2.07016
106606,92367.6,23764.6,2.07119
97481.6,78896.2,31,2.07222
80741.6,85723.7,153.76,2.0753
100947,113940,45.88,2.07736
74862.4,53599,76.88,2.10617
64315.2,53295.2,27.28,2.11029
84399.2,75186.2,100.44,2.11132
86277.6,84403.1,130.2,2.11337
83178.4,66707,116.56,2.1144
110786,138327,189.72,2.11646
84233.6,64110.5,83.08,2.11955
105680,78921,55.8,2.15144
78904,88409.5,117.8,2.15453
114592,123802,13983.5,2.15556
77477.6,52516.5,34.72,2.1607
78264,66626.4,57.04,2.16173
75472,38317.2,40.92,2.16379
90676,74584.8,76.88,2.16482
94324,107177,101.68,2.16585
80895.2,60350.8,70.68,2.16688
81132,67475.8,18.6,2.16688
100769,107310,39.68,2.16996
70620.8,62987,119.04,2.17099
104514,93818.4,158.72,2.17202
89680.8,128235,231.88,2.17305
82875.2,58401.5,33.48,2.18025
80074.4,50686.2,106.64,2.18231
106520,94072.6,141.36,2.18437
83174.4,86762.8,12190.4,2.18643
99196.8,110331,43.4,2.18848
