"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
87716.8,88016.4,12.4,1.70577
62894.4,51458.8,52.08,1.70879
90271.2,111874,68.2,1.7098
63439.2,70423.3,58.28,1.7098
61848.8,54097.5,35.96,1.73095
71156,58590,86.8,1.73195
64836,48977.5,80.6,1.73397
80797.6,56031.9,106.64,1.73498
76343.2,75821,95.48,1.73498
93226.4,116523,100.44,1.73598
78556.8,87308.4,126.48,1.738
92100,95365.9,119.04,1.74102
77139.2,89565.2,37.2,1.74504
85318.4,81119.6,95.48,1.74807
94257.6,81962.8,91.76,1.75109
65118.4,42447.7,308.76,1.75713
86619.2,69857.9,24.8,1.75914
89744,102569,153.76,1.76317
79096,94940.6,57.04,1.79439
89188.8,71979.5,59.52,1.7964
85230.4,115321,182.28,1.79841
62624,52908.3,135.16,1.79942
82731.2,83677.7,125.24,1.80244
70667.2,66099.4,85.56,1.80345
85927.2,84529.6,71.92,1.80345
85544,82184.7,84.32,1.80546
62618.4,44264.3,33.48,1.80546
76751.2,99596.8,164.92,1.80647
88456.8,65917.2,143.84,1.80748
89235.2,75801.2,89.28,1.80848
106892,120418,136.4,1.80848
99728,101596,111.6,1.8105
83690.4,69634.7,102.92,1.8105
92519.2,108231,76.88,1.8115
84775.2,63150.7,12.4,1.81251
104871,82832,49.6,1.81352
99885.6,101916,32.24,1.81352
73444.8,88180.1,101.68,1.81352
87140.8,103998,55.8,1.81553
72231.2,91209.4,116.56,1.81553
98136,97888.1,76.88,1.81654
85780,79756.8,90.52,1.81654
62674.4,41527.6,12.4,1.81755
83112.8,91271.4,12.4,1.81755
70464.8,56443.6,-24.8,1.81956
60925.6,51963.4,122.76,1.82157
74349.6,67288.6,126.48,1.82359
82110.4,100204,75.64,1.82459
91385.6,86441.6,105.4,1.84373
78665.6,98222.9,105.4,1.84473
69918.4,60798.4,86.8,1.84574
86608.8,85230.2,78.12,1.84675
89255.2,129861,138.88,1.84876
96280.8,85512.9,147.56,1.85077
71484.8,74693.9,34.72,1.8548
89268.8,86165.1,68.2,1.85682
96275.2,63948,17.36,1.85782
67683.2,69555.3,37.2,1.85984
76816,62058.3,50.84,1.86185
71636.8,58433.8,81.84,1.86487
77140,64968.6,121.52,1.86689
61093.6,42499.8,143.84,1.8689
73372.8,59980,65.72,1.86991
80948,114536,168.64,1.87091
85218.4,53971,45.88,1.87091
103140,121111,100.44,1.87192
73800.8,78355.6,39.68,1.87393
99200,102495,233.12,1.87796
62218.4,68176.4,47.12,1.87796
79742.4,70909.4,59.52,1.88098
74220,64555.6,48.36,1.92227
91249.6,127050,262.88,1.92327
95363.2,109023,111.6,1.9263
75410.4,88094.6,68.2,1.92831
89854.4,112675,21.08,1.93234
76037.6,90174,105.4,1.93334
80796,43703.8,38.44,1.93435
70620,73506,89.28,1.93435
90408,85971.7,186,1.93536
76226.4,41990.1,69.44,1.93536
72893.6,71934.9,133.92,1.93637
109250,136597,143.84,1.93737
66900,65671.6,19.84,1.93838
81025.6,91605,13.64,1.93939
74935.2,70931.7,76.88,1.93939
80110.4,83515.2,-2.48,1.94039
85735.2,77487.6,53.32,1.9414
94354.4,127746,276.52,1.94643
69904,87444.8,53.32,1.94744
76672,88712.1,128.96,1.94744
92243.2,120550,75.64,1.94946
89338.4,71359.5,70.68,1.95147
85712,75120.4,70.68,1.95147
66224.8,53895.4,18.6,1.95348
72545.6,45003.3,88.04,1.95449
65048.8,39241,0,1.96557
71358.4,67086.5,34.72,1.97161
108811,99384.8,169.88,1.97362
69571.2,74199.1,-8.68,1.97765
106043,110333,60.76,1.97866
70170.4,85310.8,97.96,1.98067
93244.8,107411,76.88,1.98168
81142.4,84952.4,81.84,1.98369
75590.4,78508.1,85.56,1.98369
106073,113202,121.52,1.98671
90371.2,69291.2,64.48,1.99074
101568,106270,218.24,2.0139
66124,58732.6,9.92,2.01491
87764.8,125606,158.72,2.01591
90891.2,137372,172.36,2.01793
72424.8,70270.8,0,2.01893
70170.4,66097,45.88,2.01994
81073.6,67036.9,40.92,2.02296
112946,136266,140.12,2.02397
69929.6,62767.6,83.08,2.02498
89727.2,92645.4,69.44,2.02598
76486.4,65716.3,69.44,2.028
97967.2,84072,62,2.029
72628,102191,42.16,2.03303
105994,142459,-14.88,2.03404
99601.6,111905,93,2.03605
89622.4,87313.4,18.6,2.03706
89033.6,73436.5,133.92,2.03907
78999.2,76872.6,74.4,2.03907
79584,60383,57.04,2.04109
89000.8,72479.2,57.04,2.04209
61504.8,64865.6,-1.24,2.04411
70608,46590.5,1.24,2.04512
84458.4,79078.5,53.32,2.04612
71082.4,97707,110.36,2.04713
89032.8,138364,174.84,2.04814
70942.4,44669.8,70.68,2.05519
89160.8,58585,120.28,2.06928
64945.6,84186.1,2.48,2.0713
70006.4,74401.2,40.92,2.07331
93645.6,69901.3,57.04,2.07532
73884,54436,60.76,2.07734
73908,62153.8,69.44,2.08137
81289.6,68570.8,85.56,2.08237
83246.4,83392.5,31,2.08338
81594.4,75483.8,172.36,2.08539
83467.2,96432.3,133.92,2.08539
75304.8,86778.9,37.2,2.08841
75865.6,90161.6,101.68,2.08942
65004,56155.9,66.96,2.09144
78153.6,58735.1,58.28,2.1005
86079.2,78531.7,75.64,2.10251
82404,56081.5,26.04,2.10553
77650.4,73938.7,93,2.10855
76118.4,64419.2,38.44,2.11057
85721.6,71776.2,28.52,2.11157
82863.2,60855.5,84.32,2.11359
97366.4,107317,114.08,2.1156
87891.2,99646.4,176.08,2.11661
91006.4,77490.1,106.64,2.11762
105082,95609,189.72,2.11862
76932.8,65105,6.2,2.12164
75844.8,55512.3,54.56,2.12366
83386.4,93243,267.84,2.12466
83800.8,91623.6,143.84,2.12567
84154.4,124124,106.64,2.12668
69500.8,98064.2,152.52,2.12769
82292,98530.4,12.4,2.1297
99169.6,121736,100.44,2.1297
80877.6,61435.8,110.36,2.13171
91208.8,71012.3,102.92,2.13171
83846.4,107293,151.28,2.13272
69815.2,63289.6,58.28,2.13574
79572,56914.8,49.6,2.13675
89600.8,112556,137.64,2.13876
68067.2,82143.8,60.76,2.14883
93517.6,79658.8,119.04,2.15085
65761.6,65814.2,43.4,2.15286
94176,118947,125.24,2.15487
92116,91854.2,172.36,2.15588
77496,84573,99.2,2.16092
97418.4,88165.2,104.16,2.16293
69916,64773.9,24.8,2.16394
75506.4,45568.8,88.04,2.16494
87512,108335,71.92,2.16696
86956,68760.5,143.84,2.16796
85289.6,58029.5,53.32,2.18508
66278.4,68710.9,42.16,2.20019
88223.2,90846.1,79.36,2.20321
65997.6,58004.7,102.92,2.20723
87029.6,117816,130.2,2.21529
102897,116903,110.36,2.21831
73722.4,94542.6,104.16,2.22335
70176,90523.7,155,2.22435
94487.2,94378.9,128.96,2.22637
62956,59201.3,-6.2,2.22637
98956.8,125039,166.16,2.22838
66915.2,60820.8,42.16,2.2314
91272.8,94577.3,137.64,2.23342
75800,78665.6,105.4,2.23442
89446.4,89999.2,95.48,2.23543
72389.6,69709.1,88.04,2.23644
73360,84573,93,2.23845
68122.4,58029.5,119.04,2.23946
96262.4,93463.8,95.48,2.23946
82204,88901.8,73.16,2.24147
81010.4,78877.6,136.4,2.24248
72312.8,68920.4,94.24,2.24348
86553.6,89825.6,89.28,2.24449
76778.4,44951.2,57.04,2.24651
71953.6,60476,54.56,2.24651
91087.2,92078.7,142.6,2.24751
79425.6,87062.9,128.96,2.24852
87080.8,72750.8,124,2.25255
104610,73803.6,93,2.25557
89532,89458.6,78.12,2.25758
81360,86605.3,78.12,2.25859
101444,146309,192.2,2.2596
62809.6,59858.5,107.88,2.26463
78216.8,71032.2,66.96,2.28678
78480.8,55249.4,-3.72,2.2898
77381.6,52284.6,95.48,2.29182
95554.4,74972.9,12.4,2.29383
100501,83392.5,106.64,2.29685
71157.6,42975.9,42.16,2.29786
112786,132704,167.4,2.29887
95819.2,69960.8,199.64,2.30088
77701.6,66449.1,12.4,2.3029
68480,56468.4,39.68,2.31095
88275.2,103912,158.72,2.31296
64528,71694.3,114.08,2.318
80181.6,77095.8,47.12,2.32102
93060,105467,91.76,2.32505
97956,80430.1,130.2,2.32908
79592.8,57937.8,32.24,2.33008
95272,87983,177.32,2.33109
67320.8,86310.2,91.76,2.3321
83288.8,68335.2,115.32,2.33411
74079.2,54070.2,73.16,2.34418
64584.8,55013.8,24.8,2.34519
70402.4,71508.3,93,2.34821
75496,51814.6,19.84,2.35022
67442.4,50464.3,47.12,2.35022
72396,63293.3,137.64,2.35123
78448,61363.9,117.8,2.35324
100577,109602,90.52,2.35425
74735.2,80623.6,69.44,2.35626
90814.4,90098.4,63.24,2.35928
108999,133595,124,2.35928
64976.8,63831.5,38.44,2.36029
75028.8,69414,65.72,2.3613
81986.4,82199.6,128.96,2.3613
71119.2,87115,81.84,2.3613
71930.4,66204.8,2.48,2.36231
68444,61894.6,60.76,2.36231
88654.4,99519.9,97.96,2.36331
71304,65248.8,-7.44,2.36432
80761.6,73615.1,43.4,2.36533
76494.4,63519,83.08,2.36533
82971.2,78382.9,136.4,2.36533
62702.4,45315.8,131.44,2.36533
97750.4,97343.7,101.68,2.36633
107872,135764,48.36,2.36734
74619.2,75339.9,152.52,2.36734
83524.8,91891.4,207.08,2.36734
80372.8,79219.9,39.68,2.36935
78976,64147.7,3.72,2.36935
114092,99513.7,74.4,2.37137
81156.8,88111.9,2.48,2.37338
70571.2,72665.2,52.08,2.38949
83564,114306,21.08,2.39151
81440,72231.2,81.84,2.4046
63661.6,41924.4,11.16,2.4056
79571.2,60283.8,70.68,2.40762
78336,89766.1,44.64,2.40963
63900.8,52263.5,33.48,2.42071
74450.4,73580.4,57.04,2.4338
62728.8,46035,48.36,2.44185
83250.4,75746.6,91.76,2.44286
73012.8,71714.2,63.24,2.46401
68836.8,38462.3,52.08,2.46401
80312,118413,106.64,2.46602
62178.4,61455.6,65.72,2.46602
77312,69294.9,143.84,2.46703
68284.8,57341.3,26.04,2.46803
79958.4,83550,52.08,2.47005
69061.6,60261.5,24.8,2.47307
63342.4,62269.1,53.32,2.4771
86424,124853,159.96,2.4781
76009.6,45382.8,40.92,2.48012
77599.2,86597.9,68.2,2.48113
67858.4,44330,63.24,2.48213
85827.2,76670.4,132.68,2.48415
96873.6,100400,145.08,2.48515
72553.6,66283,7.44,2.48717
102547,134095,133.92,2.48817
75888,70158,58.28,2.49422
68902.4,48797.7,9.92,2.49522
83200.8,83644.2,145.08,2.49522
72876.8,66714.5,38.44,2.49724
63480.8,50067.5,42.16,2.49824
76195.2,83676.4,55.8,2.50126
92798.4,88939,94.24,2.50227
73842.4,62975.9,31,2.50328
80114.4,86895.5,66.96,2.5063
79153.6,97001.5,83.08,2.50731
76894.4,72624.3,104.16,2.50932
75360.8,77369.8,49.6,2.51234
100962,110106,78.12,2.51335
95412.8,106621,186,2.51536
76021.6,92139.4,138.88,2.51637
78324,62933.7,6.2,2.51738
98379.2,72752,17.36,2.51939
80188.8,72430.9,76.88,2.5204
85620.8,91188.4,186,2.5214
90708,75677.2,218.24,2.5214
71174.4,80236.7,90.52,2.52241
81281.6,80084.2,93,2.52342
75279.2,75367.2,147.56,2.52644
102062,122031,69.44,2.53651
90880,137124,54.56,2.57779
82930.4,52678.9,32.24,2.57981
88018.4,113166,125.24,2.58081
67975.2,42746.5,69.44,2.58081
96332,104081,156.24,2.58283
72748,85202.9,49.6,2.58283
80936.8,69917.4,158.72,2.58585
76230.4,62142.6,-6.2,2.58685
108875,123296,104.16,2.58786
70222.4,71276.4,105.4,2.62411
99225.6,107104,68.2,2.62713
82069.6,86472.6,47.12,2.63116
90706.4,89169.6,60.76,2.63217
93216,120860,115.32,2.63418
82410.4,64539.5,22.32,2.6372
103347,129997,42.16,2.63922
79856.8,109666,76.88,2.64123
96161.6,102708,223.2,2.64324
75328.8,56204.2,-21.08,2.64626
71316.8,105596,62,2.64828
69082.4,60068.1,94.24,2.66036
84608,71571.6,75.64,2.66238
83228.8,43605.8,42.16,2.66338
82032,109832,53.32,2.6654
60378.4,47555.2,-9.92,2.6664
98893.6,109746,162.44,2.66943
110551,146997,146.32,2.67043
93111.2,94378.9,105.4,2.67144
75307.2,56635.8,114.08,2.67245
71764,50707.3,44.64,2.67345
92532.8,92372.6,90.52,2.67345
80879.2,75191.1,34.72,2.67345
106202,99982.4,127.72,2.67547
106576,101002,95.48,2.67647
109804,98337,88.04,2.67849
67532,72769.4,181.04,2.6805
78468,80678.1,73.16,2.6805
82948.8,97305.3,119.04,2.68151
76568.8,112513,119.04,2.68352
79007.2,73447.7,39.68,2.68453
67569.6,78033.2,43.4,2.68554
84796.8,76779.6,89.28,2.68755
68952.8,83117.2,76.88,2.71977
77249.6,76007,80.6,2.72078
70981.6,49180.9,16.12,2.72078
86187.2,63057.7,111.6,2.72179
86070.4,85142.1,95.48,2.72481
79280.8,73202.2,78.12,2.72581
91120.8,87510.5,53.32,2.72682
102951,124265,229.4,2.72783
78164,63127.2,57.04,2.72883
68003.2,67077.8,120.28,2.72984
66610.4,69911.2,75.64,2.72984
81944.8,79004.1,69.44,2.73085
96565.6,79826.2,114.08,2.73186
86742.4,113495,145.08,2.73286
105814,95317.6,54.56,2.73387
82390.4,119078,114.08,2.73488
70644.8,46186.3,68.2,2.73588
76936.8,77531,50.84,2.73689
74423.2,50768.1,-2.48,2.7389
87485.6,91145,74.4,2.7389
82404.8,70446.9,22.32,2.74394
79012.8,62917.6,26.04,2.77616
70622.4,71717.9,84.32,2.78925
95668.8,72762,95.48,2.79127
99058.4,147463,140.12,2.79227
69066.4,80540.5,189.72,2.79529
86952.8,130091,68.2,2.79932
60656,47881.4,39.68,2.82047
89028.8,97745.5,45.88,2.82248
97728.8,101307,97.96,2.82349
84960,83216.4,31,2.8255
98918.4,77124.3,182.28,2.82752
82556.8,125778,84.32,2.82953
74146.4,72068.8,58.28,2.83054
96953.6,85987.8,135.16,2.83054
79443.2,63754.6,62,2.83255
70131.2,80593.8,106.64,2.83557
83113.6,86388.3,8.68,2.83658
73552,94950.5,58.28,2.83658
79912,71467.4,16.12,2.83859
95092.8,138437,158.72,2.8396
60404,48450.5,78.12,2.84061
71008,66252,78.12,2.84161
74568,104382,16.12,2.84161
66422.4,57393.4,22.32,2.84262
65767.2,55790.1,50.84,2.84262
103852,97357.4,106.64,2.84564
77387.2,67206.8,121.52,2.87384
72398.4,50252.2,13.64,2.88592
83566.4,70200.1,58.28,2.88693
65288.8,48283.1,60.76,2.88894
82689.6,97816.2,207.08,2.88995
91052.8,85780.7,91.76,2.89297
83461.6,79428.2,111.6,2.89498
70928.8,46120.6,91.76,2.89498
85630.4,73260.4,73.16,2.89599
71544,62703.1,16.12,2.89901
62653.6,57048.7,44.64,2.90002
74915.2,50268.4,52.08,2.90102
61716,44466.4,6.2,2.91512
74607.2,68719.6,76.88,2.94231
81521.6,68134.3,45.88,2.9846
89453.6,73434,44.64,2.98661
89160,126256,95.48,2.98863
64126.4,34675.4,13.64,2.99064
78033.6,90485.3,59.52,2.99064
82176,105059,50.84,2.99266
90650.4,99806.4,68.2,3.00977
70163.2,58405.2,64.48,3.01481
66928,93166.2,141.36,3.01783
61820.8,59403.4,32.24,3.01984
72487.2,55197.4,81.84,3.02488
69256.8,61308.1,64.48,3.02488
71904,67375.4,4.96,3.03092
91168.8,66454.1,161.2,3.03293
95890.4,142738,148.8,3.03797
77535.2,49731.4,111.6,3.042
84144.8,86031.2,62,3.04502
89517.6,80288.8,119.04,3.04502
66901.6,69012.2,66.96,3.04602
112106,89339.5,68.2,3.05106
77552.8,61678.8,60.76,3.05307
97315.2,107228,125.24,3.05509
76403.2,53775.1,78.12,3.05509
64746.4,52681.4,55.8,3.05609
82698.4,48510,-28.52,3.0571
84376,87942,49.6,3.05811
94718.4,111010,55.8,3.05911
81444.8,50853.6,106.64,3.06012
90244.8,75778.9,70.68,3.06314
65484,70745.7,133.92,3.06314
98175.2,88405.8,169.88,3.06616
86764.8,86125.4,96.72,3.06616
104390,91709.2,119.04,3.06717
106388,134503,200.88,3.06818
89929.6,109366,71.92,3.07019
79261.6,68340.1,47.12,3.0712
60776.8,46890.6,43.4,3.0712
110665,94543.8,109.12,3.07221
69383.2,40105.3,102.92,3.07221
75120,61254.8,34.72,3.07321
69324.8,51791.1,76.88,3.07523
67217.6,76364.2,66.96,3.07724
93942.4,102720,119.04,3.07724
92703.2,116787,143.84,3.08026
89026.4,107003,74.4,3.08127
100700,125111,137.64,3.08328
99906.4,104900,74.4,3.09335
61897.6,56775.9,-4.96,3.11047
87295.2,80255.3,150.04,3.11148
69107.2,57040,-35.96,3.11349
69500,62111.6,104.16,3.1155
88895.2,120413,96.72,3.11651
78754.4,83414.8,106.64,3.11752
78921.6,55803.7,6.2,3.11953
82007.2,51957.2,-4.96,3.12054
107619,140704,182.28,3.12054
83268,58257.7,95.48,3.12155
101207,143453,110.36,3.12356
66974.4,58128.7,43.4,3.12457
95802.4,90471.6,101.68,3.12557
66271.2,57833.6,7.44,3.12658
78810.4,90920.5,106.64,3.12759
94435.2,75817.3,53.32,3.12759
94642.4,95729.2,80.6,3.12859
74824.8,54124.8,47.12,3.1296
74278.4,114784,94.24,3.13061
80511.2,125388,73.16,3.13866
71349.6,55177.5,23.56,3.14068
74782.4,94753.4,93,3.14672
66462.4,41928.1,24.8,3.17491
82236,110459,-18.6,3.17793
82980.8,61721,64.48,3.17995
80612,85469.5,64.48,3.18599
87897.6,78715.2,95.48,3.187
75610.4,65312,37.2,3.18901
90049.6,79299.2,58.28,3.19002
82089.6,59430.7,58.28,3.19304
95934.4,127570,580.32,3.19505
76283.2,81279.5,-44.64,3.20512
66727.2,76402.6,45.88,3.20915
73606.4,62033.5,18.6,3.21116
84858.4,98937.1,226.92,3.21318
74719.2,73696.9,-24.8,3.21721
74502.4,71136.3,62,3.21922
87240,141090,190.96,3.22023
76205.6,65248.8,55.8,3.22425
64076,59993.7,40.92,3.23634
84612.8,73917.6,40.92,3.23835
91775.2,90083.5,79.36,3.24037
79241.6,60977,49.6,3.24238
79270.4,74090,62,3.24339
78239.2,91714.1,68.2,3.2454
65546.4,59224.9,75.64,3.24641
61698.4,44410.6,66.96,3.24842
105113,113081,107.88,3.25043
89276,126486,102.92,3.25547
73644,100377,199.64,3.25748
104766,111557,137.64,3.25849
71880.8,59782.9,21.08,3.2605
84544.8,74210.3,69.44,3.26151
82656,106733,85.56,3.26655
99745.6,125115,229.4,3.26957
92818.4,79552.2,114.08,3.27158
87096,108904,43.4,3.2736
91690.4,88658.8,89.28,3.27561
60424,58844.2,3.72,3.27964
103770,124991,272.8,3.28366
69369.6,57377.3,27.28,3.28668
71725.6,94507.8,66.96,3.29071
94282.4,148366,145.08,3.29273
73356,68178.9,3.72,3.29373
80961.6,71668.3,62,3.29575
78060.8,92202.7,78.12,3.29776
76709.6,92504,100.44,3.29978
96198.4,78714,89.28,3.30078
92668.8,115734,14.88,3.3028
115346,128206,63.24,3.30481
61988,42313.8,8.68,3.30582
