"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
96111.2,82590.2,96.72,2.01867
61488,70187.7,95.48,2.02074
68813.6,51359.6,85.56,2.02074
60432,66891.8,567.92,2.0228
65796,63652.9,57.04,2.02384
90521.6,108375,84.32,2.02487
99596.8,81489.1,119.04,2.0259
112361,123386,243.04,2.02694
67693.6,61602,64.48,2.02797
85871.2,105655,50.84,2.02797
71563.2,60765,49343.3,2.029
78620.8,83113.5,1359.04,2.029
93020.8,90587,124,2.03004
88028,80510.7,91.76,2.0352
62878.4,43502.9,71.92,2.0352
62494.4,49287.5,35.96,2.0383
79382.4,60916.2,3.72,2.03933
97527.2,86146.5,110.36,2.04243
92980,91652.1,135.16,2.0445
88592,142353,540.64,2.04967
93569.6,75566.8,112.84,2.05483
88026.4,78319.6,145.08,2.05896
71420,67069.1,157.48,2.06
75972,49277.6,-14.88,2.0631
70624,95220.8,416.64,2.06516
96827.2,107341,132.68,2.06723
59936.8,49369.4,65.72,2.06723
77448.8,81605.6,70.68,2.06929
84956,96800.6,71.92,2.07033
77993.6,51065.7,60.76,2.07033
88800,105962,192.2,2.07239
78295.2,59029,171.12,2.07549
104954,106579,135.16,2.07962
90314.4,70428.3,172.36,2.08169
85141.6,77672.4,164.92,2.08479
67892,57796.4,50.84,2.08686
78463.2,61447,44.64,2.09822
56423.2,54546.4,58.28,2.10132
60764,48383.6,4.96,2.12921
96867.2,60960.9,81.84,2.13128
86934.4,70399.8,114.08,2.13335
96852.8,90862.2,4280.48,2.13541
71656,52192.8,44.64,2.13645
69020.8,69468.5,159.96,2.13851
68597.6,44990.9,89.28,2.14058
65568.8,40546.8,-24.8,2.14058
63742.4,43283.4,169.88,2.14161
75328.8,53360.9,44.64,2.14161
78193.6,74971.6,52.08,2.14264
61100.8,49569,173.6,2.14368
75544.8,55943.8,45.88,2.14781
88251.2,85691.4,128.96,2.14988
91970.4,77062.3,57.04,2.15091
64773.6,61200.2,50.84,2.15298
95836.8,62274,47.12,2.15504
77376.8,67127.4,43.4,2.1819
77596.8,71678.2,57.04,2.18397
74355.2,82688.2,128.96,2.18707
71050.4,64928.9,84.32,2.1881
75928.8,68392.2,174.84,2.19017
79294.4,121671,287.68,2.1912
82529.6,84379.5,111.6,2.19327
98151.2,109694,430.28,2.1943
57669.6,47647,22.32,2.19636
69856.8,64599,-13.64,2.1974
85708.8,63569.8,91.76,2.19946
66717.6,49991.8,110.36,2.2005
91515.2,86242,66.96,2.20256
79694.4,92009.2,1691.36,2.2036
62858.4,49782.3,-9.92,2.2067
84869.6,54871.2,14.88,2.20773
73700.8,46165.2,88.04,2.20876
92368.8,92827.6,136.4,2.20979
90374.4,78449.8,57.04,2.21289
65624,31001.2,11.16,2.22426
101538,97331.3,94.24,2.22633
78128.8,86826,143.84,2.22839
98860.8,104232,54.56,2.23046
99286.4,85819.2,207.08,2.23149
68802.4,44140.3,122.76,2.23356
76221.6,57624,94.24,2.23562
71845.6,53317.5,35.96,2.23769
83759.2,66891.8,22.32,2.23976
91530.4,110865,66.96,2.24079
100548,102553,83.08,2.24182
80072.8,86657.4,3946.92,2.24285
94265.6,92228.7,80.6,2.24389
72558.4,55349.9,53.32,2.24389
77332,67697.8,42.16,2.24595
67944,64266.7,544.36,2.24595
77948,78091.5,147.56,2.24699
95684,88808.8,132.68,2.24699
82815.2,115284,94.24,2.24802
101939,139538,173.6,2.24905
86234.4,88434.3,150.04,2.25009
105261,91509.5,76.88,2.25112
78499.2,73522.1,26.04,2.25319
79944.8,89561.5,141.36,2.25422
104259,84576.7,168.64,2.25628
108318,116323,152.52,2.25835
85484,65465.8,114.08,2.26248
72487.2,62424.1,62,2.27901
66790.4,52311.9,50.84,2.30174
72305.6,62576.6,28.52,2.30277
97203.2,84275.4,677.04,2.30381
82242.4,59942.8,882.88,2.30587
86407.2,93900.2,48.36,2.30794
69760.8,53322.5,40.92,2.31104
79420.8,76008.3,209.56,2.3441
64417.6,50515.1,4.96,2.34616
85375.2,82577.8,70.68,2.34823
93020.8,74267.3,148.8,2.34926
92584,69831.8,147.56,2.35133
103894,76422.4,7643.36,2.3534
69231.2,34767.1,49.6,2.3565
90769.6,110790,192.2,2.35753
75700.8,80009.8,133.92,2.35959
105801,117589,127.72,2.36063
98936.8,97008.9,199.64,2.36166
80401.6,69557.8,95.48,2.36269
79449.6,59258.4,121.52,2.36476
77512.8,66640.1,94.24,2.36579
91730.4,76552.6,228.16,2.36683
97093.6,90951.5,128.96,2.36889
68234.4,48320.3,49.6,2.36993
90522.4,96282.3,140.12,2.37096
73864.8,66653.7,86.8,2.37406
64059.2,63440.9,1812.88,2.37509
69030.4,61899.6,90.52,2.37716
108748,99910.5,107.88,2.37922
73838.4,53179.9,984.56,2.38026
89044,78913.6,42.16,2.38232
70834.4,53564.3,26.04,2.38336
81636,75449,63.24,2.38439
