"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
62119.2,81420.9,48449.3,2.95185
103888,103767,88386,2.97607
81359.2,111219,2037.32,2.9791
70887.2,84023.6,1080.04,3.06387
68797.6,63144.5,5436.16,3.07598
67979.2,69301.1,60601.3,3.078
65289.6,64503.6,5756.08,3.07901
61058.4,51274,8470.44,3.08305
75012.8,66890.6,197.16,3.08406
91051.2,148036,99860.9,3.08608
66804,59506.4,419.12,3.08809
69142.4,55487.5,713,3.13048
78447.2,96101.2,6761.72,3.13553
68739.2,64985.9,33057.2,3.19204
63892,42238.1,4867,3.1991
68047.2,72543.7,26724.5,3.20011
66562.4,52747.1,50970.2,3.20516
74553.6,85072.7,1030.44,3.20617
62598.4,57816.2,580.32,3.20819
70341.6,59878.4,70978.8,3.2092
80573.6,130485,41133.3,3.21727
60668,67368,7778.52,3.21828
80444.8,110764,81171.6,3.21828
71122.4,66073.4,10449.5,3.21828
67602.4,92913.2,34078.9,3.22131
81944,80354.5,1304.48,3.22131
83590.4,129299,18311.1,3.22231
102109,107458,19894.6,3.22231
72120.8,65395.1,462.52,3.22433
66890.4,70138.1,45989.1,3.22534
75118.4,75648.7,15175.1,3.28993
82776,104078,88263.2,3.29296
67379.2,67250.2,405.48,3.34947
70893.6,60269,9896.44,3.36158
70846.4,73307.6,245.52,3.39186
70103.2,56322,566.68,3.41507
61763.2,67188.2,214.52,3.41608
62269.6,42669.6,311.24,3.4191
80453.6,74334.3,11059.6,3.42314
80058.4,99803.9,53713.1,3.42617
106962,119148,154273,3.42819
76158.4,66677.3,1629.36,3.43122
64681.6,48832.4,145.08,3.43122
77656.8,87788.3,10557.4,3.43122
77720,84999.5,219.48,3.43424
75520.8,102895,2760.24,3.43626
66988,70853.6,280.24,3.43626
68076,71337.2,117.8,3.43828
62299.2,55433,1042.84,3.44534
78991.2,107534,32068.9,3.48268
78325.6,77373.5,31556.8,3.57048
58924,47023.3,1124.68,3.57149
69188.8,90138.1,1153.2,3.58764
60836.8,47120,404.24,3.63002
67812,64348.6,1843.88,3.63406
75991.2,84205.9,14909.8,3.63507
71572,75450.3,47283.7,3.6381
66658.4,67718.9,7793.4,3.63911
94894.4,95709.4,1532.64,3.64112
60124.8,56217.9,649.76,3.64819
68856.8,87124.9,1717.4,3.65223
83180,124321,1083.76,3.65424
72307.2,65267.4,478.64,3.65424
79529.6,95400.6,65486.9,3.65828
68152.8,61221.3,631.16,3.65929
78967.2,84522.1,36914.8,3.6603
70640.8,67283.6,21357.8,3.66736
64455.2,59114.5,32517.8,3.75314
81050.4,87623.4,32139.6,3.76223
63598.4,54653,417.88,3.76424
78177.6,112518,1564.88,3.76727
87460,110215,927.52,3.77131
82996.8,76912.2,34617.1,3.77434
92475.2,115774,93646,3.77535
71402.4,75187.4,23320.7,3.78039
62332.8,74870,11405.5,3.78443
72028.8,81200.2,97.96,3.78645
89954.4,99382.3,741.52,3.79452
62196.8,56912.3,318.68,3.81168
78460,76309.6,7702.88,3.8147
71009.6,75423,168.64,3.81874
76511.2,87893.7,1241.24,3.83388
75982.4,122362,1085,3.84498
74095.2,62452.6,266.6,3.84599
65761.6,43953,9602.56,3.85406
82117.6,92869.8,54355.4,3.89342
87876.8,90355.1,76374.1,3.89746
71536,78635.8,10331.7,3.89947
75288.8,95922.7,426.56,3.90452
63708,51029.7,5336.96,3.94993
91226.4,93525.8,28681.2,3.96103
68779.2,54889.8,10959.1,3.98122
78852,82362,31961,3.98425
71574.4,105128,3892.36,3.98526
60625.6,58630.9,4420.6,3.9903
65853.6,48062.4,2298.96,4.01452
63827.2,67896.2,71835.7,4.01452
77489.6,71224.4,198.4,4.01755
65466.4,52708.7,15441.7,4.01856
92192,113239,5045.56,4.02966
80782.4,114094,26966.3,4.03672
70401.6,83173,6492.64,4.03975
67498.4,56976.8,2193.56,4.03975
75288.8,68006.6,9509.56,4.03975
67233.6,78929.7,489.8,4.04278
71238.4,67225.4,83.08,4.12049
75189.6,78757.4,30528.8,4.15581
70558.4,74804.2,21156.9,4.15782
72889.6,61249.8,3164.48,4.16085
85255.2,115541,36193.1,4.16085
68776.8,55943.8,51332.3,4.16186
76193.6,63133.4,7847.96,4.16287
80813.6,87334.4,411.68,4.16287
80324,116352,63577.3,4.16691
95513.6,122100,23083.8,4.16691
81437.6,134814,725.4,4.17195
59478.4,60639.7,910.16,4.24461
73856.8,69430.1,306.28,4.24562
85136.8,93334.8,88.04,4.28801
71106.4,72288.3,60509.5,4.33241
83919.2,108407,17704.7,4.33342
73616,86477.6,1385.08,4.36269
67779.2,61754.5,200.88,4.36572
70886.4,71680.7,25062.9,4.41416
79616,74031.7,985.8,4.41618
66746.4,59484,298.84,4.41618
70130.4,97182.5,5324.56,4.41718
82574.4,92626.8,1891,4.41819
76184,75419.3,26823.7,4.41819
76910.4,102340,2047.24,4.42021
91123.2,117365,254.2,4.42223
73892,70065,20223.2,4.42223
72324.8,78823.1,2110.48,4.42627
71796,64765.2,28707.2,4.44443
91356.8,118807,3907.24,4.45049
73902.4,56518,50202.6,4.50397
80312.8,88569.5,40507.1,4.507
72818.4,58247.8,1061.44,4.51104
86961.6,116700,26569.5,4.51306
63723.2,46652.5,-19.84,4.51608
65186.4,49595,38108.9,4.51911
68771.2,87661.8,124,4.51911
75798.4,120863,1241.24,4.55746
67380.8,90114.5,35668.6,4.57058
75267.2,79151.7,34591,4.5948
91887.2,108944,1247.44,4.61398
79698.4,104433,36387.8,4.62508
62313.6,57761.7,13857,4.66544
63204.8,58530.5,664.64,4.67553
83071.2,83784.3,571.64,4.68462
67435.2,51602.6,329.84,4.68865
72085.6,109286,81672.6,4.68966
86074.4,116772,14203,4.69269
75736,78540.4,11473.7,4.6937
103650,94775.7,32602.1,4.69471
97707.2,140807,472.44,4.69572
73832,57007.8,7216.8,4.69673
80595.2,99538.5,62696.9,4.69976
71814.4,71152.4,122.76,4.80168
69760.8,107057,3214.08,4.81581
61911.2,56437.4,26085.9,4.82086
106394,78148.5,62752.7,4.82288
83365.6,103562,29810.8,4.8259
83172.8,139830,11085.6,4.8259
70374.4,55991,37462.9,4.82994
84683.2,110289,494.76,4.837
64718.4,59410.9,7635.92,4.85113
80680.8,92633,1209,4.85315
61994.4,49520.6,271.56,4.85618
94371.2,107776,1346.64,4.85719
93478.4,106349,28603.1,4.85921
88433.6,98035.6,708.04,4.86324
63246.4,48523.7,57718.3,4.86526
81887.2,81243.6,20910.1,4.86627
61921.6,50618,28916.8,4.86728
70846.4,69717.8,3620.8,4.87737
76521.6,86641.3,106.64,4.90058
78444.8,72347.8,75766.5,4.93086
84380.8,88414.5,32902.2,4.93389
63965.6,43608.3,1517.76,4.9359
60068.8,46762.9,53031.1,5.00856
68180,88686,2873.08,5.01159
76467.2,67201.8,1292.08,5.01664
77328,81109.6,215.76,5.01866
66971.2,66828.6,2466.36,5.02471
88663.2,78495.7,952.32,5.02673
96336.8,117945,431.52,5.03077
80733.6,106101,85.56,5.03278
72316,53754,6330.2,5.03278
67350.4,55255.6,30907,5.03783
88565.6,75373.4,53754,5.03783
82424,68420.7,7823.16,5.04187
89579.2,111709,1045.32,5.04288
64436.8,51349.6,212.04,5.0449
87558.4,140043,34612.1,5.04792
70828.8,87092.6,38684.3,5.11352
58858.4,39376.2,16900,5.19022
83631.2,78303.5,419.12,5.19224
75912,94776.9,51696.8,5.19324
93797.6,132649,43742.2,5.19324
96294.4,103462,9895.2,5.19627
78235.2,79110.8,168.64,5.20132
60960,67632.1,1073.84,5.20737
68479.2,69215.6,1197.84,5.22251
65205.6,51536.9,23236.4,5.22554
64581.6,52687.6,1257.36,5.22857
78116.8,76093.8,17802.7,5.22958
73744,76390.2,1368.96,5.23159
74052.8,72824,33137.8,5.23361
106969,120400,98248.9,5.23462
76195.2,98598.6,564.2,5.23462
72064.8,57655,1091.2,5.23563
85348.8,86105.6,28388.6,5.23866
65758.4,50244.8,15004,5.2871
78584,91652.1,2331.2,5.33554
99364.8,98341.9,7319.72,5.36279
72288.8,85498,605.12,5.3638
83281.6,88979.9,2530.84,5.36582
68733.6,64848.3,432.76,5.36783
88271.2,110211,21200.3,5.36884
74608,71445.1,949.84,5.36985
75714.4,114430,43659.2,5.37086
82505.6,91781.1,32586,5.37187
67757.6,69921.1,54076.4,5.37187
83892.8,99645.2,8750.68,5.37389
67196,63993.9,213.28,5.4526
66470.4,72018,42.16,5.45967
66387.2,66204.8,23069,5.47279
116966,111007,15119.3,5.47582
66530.4,54903.5,1802.96,5.53738
69585.6,67852.8,62860.6,5.54444
67905.6,73426.6,1226.36,5.54646
78812,95842.1,3413.72,5.5515
66840,71369.4,16585,5.55453
77854.4,87985.4,12102.4,5.56361
87612.8,104456,66611.6,5.56765
76648.8,96016.9,1236.28,5.57169
68854.4,52019.2,3463.32,5.58279
65523.2,74281,951.08,5.6171
86768.8,97974.9,8006.68,5.62013
71521.6,81683.8,43143.3,5.62114
75222.4,96309.6,911.4,5.62618
86214.4,95100.6,1625.64,5.6282
74292.8,71624.9,10905.8,5.63123
83326.4,101147,627.44,5.63224
80898.4,101733,3046.68,5.63829
76740.8,88336.4,67871.4,5.65646
81127.2,55806.2,11839.5,5.66453
60428,73240.6,9168.56,5.66756
66240,93415.4,153.76,5.66958
70523.2,83811.6,14841.6,5.6716
94875.2,101278,4369.76,5.67261
67756.8,59585.7,14331.9,5.67361
91291.2,112480,1650.44,5.67462
59670.4,56650.6,14451,5.67664
67506.4,68017.7,768.8,5.67765
81662.4,105097,653.48,5.69985
67946.4,65574.9,7655.76,5.70389
60640,43397.5,281.48,5.71903
75889.6,68131.8,106380,5.85022
64482.4,66240.8,367.04,5.85123
89727.2,107060,6681.12,5.85426
78457.6,95256.8,1237.52,5.85729
93293.6,148634,55214.7,5.8593
67594.4,55437.9,19553.6,5.86031
83899.2,118266,970.92,5.86132
87243.2,80826.9,32206.5,5.86334
69183.2,64489.9,19004.2,5.86435
100980,128938,415.4,5.86637
89067.2,87198,72146.9,5.86839
66743.2,58595,1578.52,5.87848
79335.2,83820.3,198.4,5.88151
78012,64126.6,399.28,5.9138
71187.2,73696.9,36562.6,5.9471
78918.4,75537.1,102586,5.98041
69586.4,66885.6,36278.7,6.04398
98840.8,94717.4,81983.8,6.06619
68474.4,60154.9,233.12,6.06619
86637.6,85169.4,581.56,6.07224
66494.4,75337.4,2781.32,6.07426
71219.2,85633.2,4373.48,6.07628
97197.6,130597,85014.4,6.07729
94332,138601,92277.1,6.0783
72108.8,91978.2,336.04,6.08031
62855.2,57919.2,12150.8,6.08031
78764,93275.3,3139.68,6.08031
70649.6,57424.4,138.88,6.08132
68387.2,58825.6,21237.5,6.08233
65752.8,63998.9,30624.3,6.08435
93821.6,126935,1837.68,6.08637
66212.8,56996.6,8353.88,6.08637
86031.2,81440.7,18503.3,6.08738
70191.2,76694,266.6,6.08738
70180,74991.5,717.96,6.0894
82956.8,109785,70744.5,6.09041
89794.4,104913,21581,6.09142
74730.4,74981.6,35132.9,6.20444
74033.6,83537.6,871.72,6.21555
64493.6,71391.8,171.12,6.22059
68952,94530.2,714.24,6.22261
76247.2,53000.1,218.24,6.26802
75264.8,79642.7,7019.64,6.27004
70140,94803,251.72,6.28821
71096.8,92373.8,450.12,6.28922
72519.2,69071.7,384.4,6.29426
68524.8,68250.8,262.88,6.29426
96197.6,99853.5,108374,6.30133
63151.2,68255.8,894.04,6.30233
80005.6,133952,761.36,6.30637
73676.8,69414,851.88,6.30637
72454.4,64351,1804.2,6.35481
89700.8,86729.3,264.12,6.35582
59937.6,60396.7,1077.56,6.35784
72699.2,77946.4,404.24,6.36087
61021.6,69092.8,203.36,6.36188
66556,48099.6,27214.3,6.36591
